date,tripduration,start_station_name_old,start_station_id,starttime,end_station_name_old,end_station_id,stoptime,birth_year,age,per_day,hour,week_day,weekend,holiday,start_station_name,end_station_name,lat_start,lon_start,lat_end,lon_end,distance
2022-01-01,1408.0,44 - Ibirapuera Portão 09,44.0,2022-01-01 13:40:43,208 - Alameda Lorena,208.0,2022-01-01 14:04:11,1991-01-01 00:00:00,31.0,2022-01-01,13,5,True,False,Pq. Ibirapuera portão 9,Alameda Lorena,-23.5788395,-46.6600902,-23.55991951,-46.67026626,2.955
2022-01-01,679.0,138 - Chilon,138.0,2022-01-01 18:21:10,1 - Largo da Batata,1.0,2022-01-01 18:32:29,1986-01-01 00:00:00,36.0,2022-01-01,18,5,True,False,Chilon,Largo da Batata,-23.5936014851943,-46.6800723302731,-23.5668309564147,-46.6937412022694,3.738
2022-01-01,1302.0,20 - CPTM Cidade Jardim,20.0,2022-01-01 19:07:54,1 - Largo da Batata,1.0,2022-01-01 19:29:36,,,2022-01-01,19,5,True,False,CPTM Cidade Jardim,Largo da Batata,-23.5850202930326,-46.6904367894373,-23.5668309564147,-46.6937412022694,2.726
2022-01-01,1079.0,319 - Metrô Moema,319.0,2022-01-01 13:13:55,131 - Ibirapuera Portão 06,131.0,2022-01-01 13:31:54,1999-01-01 00:00:00,23.0,2022-01-01,13,5,True,False,Metrô Moema,Ibirapuera Portão 06,-23.6037621017182,-46.6616847898962,-23.5934574009144,-46.659362734414,1.937
2022-01-01,1812.0,59 - EBAC,59.0,2022-01-01 10:46:35,264 - Parque Villa Lobos Portão 2,264.0,2022-01-01 11:16:47,1985-01-01 00:00:00,37.0,2022-01-01,10,5,True,False,EBAC,Parque Villa Lobos Portão 2,-23.5561973682702,-46.6926703781386,-23.5435015914936,-46.7256937404967,4.37
2022-01-01,6681.0,96 - Tutóia,96.0,2022-01-01 10:40:30,217 - Alameda Gabriel,217.0,2022-01-01 12:31:51,1991-01-01 00:00:00,31.0,2022-01-01,10,5,True,False,Tutóia,Alameda Gabriel,-23.5738230003483,-46.6514144849816,-23.5651645970985,-46.6766107743796,3.661
2022-01-01,1343.0,96 - Tutóia,96.0,2022-01-01 17:43:37,207 - Bela Cintra,207.0,2022-01-01 18:06:00,1997-01-01 00:00:00,25.0,2022-01-01,17,5,True,False,Tutóia,Bela Cintra,-23.5738230003483,-46.6514144849816,-23.56226,-46.66805,2.885
2022-01-01,157.0,106 - Rua Flórida,106.0,2022-01-01 18:54:34,145 - CPTM Berrini,145.0,2022-01-01 18:57:11,1989-01-01 00:00:00,33.0,2022-01-01,18,5,True,False,Rua Flórida,CPTM Berrini,-23.6090278763808,-46.6916217996544,-23.6049719308606,-46.6962601886354,1.105
2022-01-01,3935.0,132 - Ibirapuera Portão 05,132.0,2022-01-01 18:18:52,194 - jaguaribe,194.0,2022-01-01 19:24:27,2003-01-01 00:00:00,19.0,2022-01-01,18,5,True,False,Ibirapuera Portão 05,Jaguaribe,-23.5921163886911,-46.6553996394387,-23.5415334086621,-46.6555547195509,7.728
2022-01-01,2211.0,215 - E.E. Godofredo Furtado,215.0,2022-01-01 10:45:20,246 - Portão CPTM,246.0,2022-01-01 11:22:11,1990-01-01 00:00:00,32.0,2022-01-01,10,5,True,False,E.E. Godofredo Furtado,Portão CPTM,-23.5594417332263,-46.6784556405711,-23.5601005487719,-46.7131577012467,4.935
