,ZONA,MUNI_DOM,CO_DOM_X,CO_DOM_Y,ID_DOM,F_DOM,FE_DOM,DOM,CD_ENTRE,DATA,TIPO_DOM,NO_MORAD,TOT_FAM,ID_FAM,F_FAM,FE_FAM,FAMILIA,NO_MORAF,CONDMORA,QT_RADIO,QT_GEL1,QT_GEL2,QT_TVCOR,QT_FREEZ,QT_VIDEO,QT_BANHO,QT_MOTO,QT_AUTO,QT_ASPIR,QT_MLAVA,QT_EMPRE,QT_MICRO,QT_BICICLE,NAO_DCL_IT,CRITERIOBR,ANO_AUTO1,ANO_AUTO2,ANO_AUTO3,RENDA_FA,CD_RENFA,ID_PESS,F_PESS,FE_PESS,PESSOA,SIT_FAM,IDADE,SEXO,ESTUDA,GRAU_INS,CD_ATIVI,CO_REN_I,VL_REN_I,ZONA_ESC,MUNIESC,CO_ESC_X,CO_ESC_Y,TIPO_ESC,ZONATRA1,MUNITRA1,CO_TR1_X,CO_TR1_Y,TRAB1_RE,TRABEXT1,OCUP1,SETOR1,VINC1,ZONATRA2,MUNITRA2,CO_TR2_X,CO_TR2_Y,TRAB2_RE,TRABEXT2,OCUP2,SETOR2,VINC2,N_VIAG,FE_VIA,DIASEMANA,TOT_VIAG,ZONA_O,MUNI_O,CO_O_X,CO_O_Y,ZONA_D,MUNI_D,CO_D_X,CO_D_Y,ZONA_T1,MUNI_T1,CO_T1_X,CO_T1_Y,ZONA_T2,MUNI_T2,CO_T2_X,CO_T2_Y,ZONA_T3,MUNI_T3,CO_T3_X,CO_T3_Y,MOTIVO_O,MOTIVO_D,MOT_SRES,SERVIR_O,SERVIR_D,MODO1,MODO2,MODO3,MODO4,ANDA_O,ANDA_D,DURACAO,MODOPRIN,TIPVG,PAG_VIAG,TP_ESAUTO,VL_EST,PE_BICI,TP_ESBICI,DISTANCIA,ID_ORDEM,orig_lat,orig_lon,dest_lat,dest_lon,HORA_SAIDA,HORA_CHEG
78505,156,36,-23.485322388448722,-46.57357540167087,1561126,0,369.50019,1126,6,2007-10-18,1,8,1,156112601,0,369.50019,1,8,2,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1,4,2005.0,0.0,0.0,2400.0,1,15611260101,0,395.91687,1,1,41,1,1,4,1,1,400.0,0.0,0.0,0.0,0.0,0.0,156.0,36.0,-23.486699018267228,-46.57214260767299,2.0,1.0,333.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,460.16269,4,6,156.0,36.0,-23.486699018267228,-46.57214260767299,156.0,36.0,-23.485322388448722,-46.57357540167087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,3.0,2.0,2.0,15,0,0,0,1.0,1.0,300,15,4.0,0.0,0.0,0.0,1.0,3.0,211.33,78506,-23.486699018267228,-46.57214260767299,-23.485322388448722,-46.57357540167087,19:00:00,19:05:00
78675,157,36,-23.506465827537284,-46.58663472976568,1570035,0,290.99232,35,6,2007-09-29,1,3,1,157003501,0,290.99232,1,3,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,5,1998.0,0.0,0.0,1900.0,1,15700350103,1,301.72208,3,3,19,1,1,4,1,1,500.0,0.0,0.0,0.0,0.0,0.0,160.0,36.0,-23.504895059370803,-46.60559683220586,2.0,1.0,925.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,350.68282,5,2,157.0,36.0,-23.506465827537284,-46.58663472976568,160.0,36.0,-23.504895059370803,-46.60559683220586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,3.0,2.0,2.0,15,0,0,0,0.0,0.0,900,15,4.0,0.0,0.0,0.0,2.0,3.0,1944.38,78676,-23.506465827537284,-46.58663472976568,-23.504895059370803,-46.60559683220586,06:30:00,06:45:00
78676,157,36,-23.506465827537284,-46.58663472976568,1570035,0,290.99232,35,6,2007-09-29,1,3,1,157003501,0,290.99232,1,3,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,5,1998.0,0.0,0.0,1900.0,1,15700350103,0,301.72208,3,3,19,1,1,4,1,1,500.0,0.0,0.0,0.0,0.0,0.0,160.0,36.0,-23.504895059370803,-46.60559683220586,2.0,1.0,925.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,350.68282,5,2,160.0,36.0,-23.504895059370803,-46.60559683220586,157.0,36.0,-23.506465827537284,-46.58663472976568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,3.0,2.0,2.0,15,0,0,0,0.0,0.0,900,15,4.0,0.0,0.0,0.0,2.0,3.0,1944.38,78677,-23.504895059370803,-46.60559683220586,-23.506465827537284,-46.58663472976568,17:00:00,17:15:00
79051,158,36,-23.51190789297842,-46.56285484822548,1580026,1,203.46706,26,6,2007-09-06,1,4,1,158002601,1,203.46706,1,4,1,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,5,1982.0,0.0,0.0,800.0,1,15800260101,1,214.73669,1,1,38,1,1,3,1,1,800.0,0.0,0.0,0.0,0.0,0.0,158.0,36.0,-23.51883515763478,-46.568410626715604,2.0,2.0,910.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,249.58223,4,10,158.0,36.0,-23.51190789297842,-46.56285484822548,158.0,36.0,-23.515253137330717,-46.56761863765409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,3.0,2.0,2.0,15,0,0,0,1.0,1.0,1200,15,4.0,0.0,0.0,0.0,1.0,3.0,611.48,79052,-23.51190789297842,-46.56285484822548,-23.515253137330717,-46.56761863765409,08:00:00,08:20:00
79052,158,36,-23.51190789297842,-46.56285484822548,1580026,0,203.46706,26,6,2007-09-06,1,4,1,158002601,0,203.46706,1,4,1,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,5,1982.0,0.0,0.0,800.0,1,15800260101,0,214.73669,1,1,38,1,1,3,1,1,800.0,0.0,0.0,0.0,0.0,0.0,158.0,36.0,-23.51883515763478,-46.568410626715604,2.0,2.0,910.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,249.58223,4,10,158.0,36.0,-23.51883515763478,-46.568410626715604,158.0,36.0,-23.51190789297842,-46.56285484822548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,3.0,2.0,2.0,15,0,0,0,1.0,1.0,1200,15,4.0,0.0,0.0,0.0,1.0,3.0,954.15,79053,-23.51883515763478,-46.568410626715604,-23.51190789297842,-46.56285484822548,12:30:00,12:50:00
79057,158,36,-23.51190789297842,-46.56285484822548,1580026,0,203.46706,26,6,2007-09-06,1,4,1,158002601,0,203.46706,1,4,1,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,5,1982.0,0.0,0.0,800.0,1,15800260101,0,214.73669,1,1,38,1,1,3,1,1,800.0,0.0,0.0,0.0,0.0,0.0,158.0,36.0,-23.51883515763478,-46.568410626715604,2.0,2.0,910.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,249.58223,4,10,158.0,36.0,-23.51190789297842,-46.56285484822548,158.0,36.0,-23.51883515763478,-46.568410626715604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,3.0,2.0,2.0,15,0,0,0,1.0,1.0,300,15,4.0,0.0,0.0,0.0,1.0,3.0,954.15,79058,-23.51190789297842,-46.56285484822548,-23.51883515763478,-46.568410626715604,13:35:00,13:40:00
79058,158,36,-23.51190789297842,-46.56285484822548,1580026,0,203.46706,26,6,2007-09-06,1,4,1,158002601,0,203.46706,1,4,1,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,5,1982.0,0.0,0.0,800.0,1,15800260101,0,214.73669,1,1,38,1,1,3,1,1,800.0,0.0,0.0,0.0,0.0,0.0,158.0,36.0,-23.51883515763478,-46.568410626715604,2.0,2.0,910.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,249.58223,4,10,158.0,36.0,-23.51883515763478,-46.568410626715604,158.0,36.0,-23.51190789297842,-46.56285484822548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,3.0,2.0,2.0,15,0,0,0,1.0,1.0,1200,15,4.0,0.0,0.0,0.0,1.0,3.0,954.15,79059,-23.51883515763478,-46.568410626715604,-23.51190789297842,-46.56285484822548,17:30:00,17:50:00
79112,158,36,-23.520212106277057,-46.56952418167673,1580038,0,205.63828,38,6,2007-09-16,1,3,1,158003801,0,205.63828,1,3,3,1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1,4,1997.0,0.0,0.0,2732.58,3,15800380103,1,217.02817,3,4,35,2,1,4,1,3,0.0,0.0,0.0,0.0,0.0,0.0,158.0,36.0,-23.518042165151805,-46.5679466341035,2.0,2.0,906.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,252.24555,6,6,158.0,36.0,-23.520212106277057,-46.56952418167673,158.0,36.0,-23.518042165151805,-46.5679466341035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,3.0,2.0,2.0,15,0,0,0,0.0,0.0,300,15,4.0,0.0,0.0,0.0,7.0,3.0,289.31,79113,-23.520212106277057,-46.56952418167673,-23.518042165151805,-46.5679466341035,06:50:00,06:55:00
79113,158,36,-23.520212106277057,-46.56952418167673,1580038,0,205.63828,38,6,2007-09-16,1,3,1,158003801,0,205.63828,1,3,3,1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1,4,1997.0,0.0,0.0,2732.58,3,15800380103,0,217.02817,3,4,35,2,1,4,1,3,0.0,0.0,0.0,0.0,0.0,0.0,158.0,36.0,-23.518042165151805,-46.5679466341035,2.0,2.0,906.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,252.24555,6,6,158.0,36.0,-23.518042165151805,-46.5679466341035,158.0,36.0,-23.520212106277057,-46.56952418167673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,3.0,2.0,2.0,15,0,0,0,0.0,0.0,420,15,4.0,0.0,0.0,0.0,7.0,3.0,289.31,79114,-23.518042165151805,-46.5679466341035,-23.520212106277057,-46.56952418167673,16:00:00,16:07:00
79114,158,36,-23.520212106277057,-46.56952418167673,1580038,0,205.63828,38,6,2007-09-16,1,3,1,158003801,0,205.63828,1,3,3,1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1,4,1997.0,0.0,0.0,2732.58,3,15800380103,0,217.02817,3,4,35,2,1,4,1,3,0.0,0.0,0.0,0.0,0.0,0.0,158.0,36.0,-23.518042165151805,-46.5679466341035,2.0,2.0,906.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,252.24555,6,6,158.0,36.0,-23.520212106277057,-46.56952418167673,158.0,36.0,-23.507923056504968,-46.56879262668429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,7,7.0,2.0,2.0,15,0,0,0,0.0,0.0,600,15,4.0,0.0,0.0,0.0,7.0,1.0,1362.96,79115,-23.520212106277057,-46.56952418167673,-23.507923056504968,-46.56879262668429,16:30:00,16:40:00
