id,ZONA,MUNI_DOM,CO_DOM_X,CO_DOM_Y,ID_DOM,F_DOM,FE_DOM,DOM,CD_ENTRE,DATA,TIPO_DOM,AGUA,RUA_PAVI,NO_MORAD,TOT_FAM,ID_FAM,F_FAM,FE_FAM,FAMILIA,NO_MORAF,CONDMORA,QT_BANHO,QT_EMPRE,QT_AUTO,QT_MICRO,QT_LAVALOU,QT_GEL1,QT_GEL2,QT_FREEZ,QT_MLAVA,QT_DVD,QT_MICROON,QT_MOTO,QT_SECAROU,QT_BICICLE,NAO_DCL_IT,CRITERIOBR,PONTO_BR,ANO_AUTO1,ANO_AUTO2,ANO_AUTO3,RENDA_FA,CD_RENFA,ID_PESS,F_PESS,FE_PESS,PESSOA,SIT_FAM,IDADE,SEXO,ESTUDA,GRAU_INS,CD_ATIVI,CO_REN_I,VL_REN_I,ZONA_ESC,MUNIESC,CO_ESC_X,CO_ESC_Y,TIPO_ESC,ZONATRA1,MUNITRA1,CO_TR1_X,CO_TR1_Y,TRAB1_RE,TRABEXT1,OCUP1,SETOR1,VINC1,ZONATRA2,MUNITRA2,CO_TR2_X,CO_TR2_Y,TRAB2_RE,TRABEXT2,OCUP2,SETOR2,VINC2,N_VIAG,FE_VIA,DIASEMANA,TOT_VIAG,ZONA_O,MUNI_O,NOME_O,CO_O_X,CO_O_Y,ZONA_D,MUNI_D,NOME_D,CO_D_X,CO_D_Y,ZONA_T1,MUNI_T1,CO_T1_X,CO_T1_Y,ZONA_T2,MUNI_T2,CO_T2_X,CO_T2_Y,ZONA_T3,MUNI_T3,CO_T3_X,CO_T3_Y,MOTIVO_O,MOTIVO_D,SERVIR_O,SERVIR_D,MODO1,MODO2,MODO3,MODO4,HORA_SAIDA,ANDA_O,HORA_CHEG,ANDA_D,DURACAO,MODOPRIN,TIPVG,PAG_VIAG,TP_ESAUTO,VL_EST,PE_BICI,VIA_BICI,TP_ESTBICI,ID_ORDEM,distance,geometry
449,2,36,-23.54869688456449,-46.62984935798873,20877,1,68.75,877,1,2/08/2018,1,1,1,5,1,208771,1,68.75,1,5,2,1,0,0,0,0,0,1,1,1,0,1,0,0,2,1,5,20,0,0,0,1908.0,1,20877101,1,27.983193,1,1,71,1,1,2,4,1,954.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,45.993065,3,8,2,36,Parque Dom Pedro,-23.54869688456449,-46.62984935798873,20,36,Glicério,-23.562949766086177,-46.63127910172153,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,8,4,2,1,15,0,0,0,08:00:00,1,08:10:00,1,600,15,4,0,0,0.0,1,2,8,450,2.316243,"[[-46.629884, -23.548626, 739.16], [-46.62971, -23.548556, 735.68], [-46.629336, -23.549065, 738.31], [-46.628942, -23.549685, 739.97], [-46.628257, -23.550652, 741.18], [-46.627879, -23.551156, 739.68], [-46.627686, -23.551507, 738.13], [-46.627639, -23.551897, 738.43], [-46.627562, -23.552177, 738.52], [-46.627463, -23.552404, 739.57], [-46.627416, -23.55262, 741.28], [-46.62721, -23.554387, 735.82], [-46.627242, -23.554478, 735.49], [-46.627709, -23.555373, 736.33], [-46.62754, -23.555687, 736.69], [-46.627519, -23.555808, 736.91], [-46.627562, -23.555919, 737.11], [-46.627627, -23.555989, 737.18], [-46.627869, -23.556185, 738.83], [-46.627982, -23.556249, 738.72], [-46.628155, -23.556321, 738.58], [-46.628583, -23.556398, 736.64], [-46.628856, -23.556429, 736.44], [-46.629387, -23.556447, 734.24], [-46.631156, -23.55981, 746.42], [-46.631119, -23.559858, 745.78], [-46.631059, -23.559896, 745.16], [-46.630281, -23.559827, 736.34], [-46.630049, -23.561683, 746.88], [-46.630171, -23.561639, 748.07], [-46.630255, -23.56164, 748.03], [-46.630519, -23.561694, 748.14], [-46.630691, -23.561746, 748.34], [-46.630815, -23.561809, 750.56], [-46.630893, -23.561902, 752.69], [-46.630921, -23.561979, 752.61], [-46.630906, -23.562162, 752.63], [-46.630859, -23.56225, 752.73], [-46.630744, -23.562353, 753.03], [-46.630613, -23.562395, 753.26], [-46.63015, -23.562474, 757.14], [-46.630245, -23.56313, 763.79], [-46.630921, -23.563323, 759.32], [-46.631082, -23.563356, 758.85], [-46.631579, -23.563387, 757.52], [-46.631604, -23.562966, 756.17]]"
450,2,36,-23.54869688456449,-46.62984935798873,20877,0,68.75,877,1,2/08/2018,1,1,1,5,1,208771,0,68.75,1,5,2,1,0,0,0,0,0,1,1,1,0,1,0,0,2,1,5,20,0,0,0,1908.0,1,20877101,0,27.983193,1,1,71,1,1,2,4,1,954.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,45.993065,3,8,20,36,Glicério,-23.562949766086177,-46.63127910172153,2,36,Parque Dom Pedro,-23.54869688456449,-46.62984935798873,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,4,8,1,2,15,0,0,0,08:10:00,1,08:20:00,1,600,15,4,0,0,0.0,1,2,3,451,2.656898,"[[-46.631604, -23.562966, 756.17], [-46.631643, -23.562337, 754.82], [-46.631415, -23.560114, 748.18], [-46.631427, -23.560019, 748.69], [-46.631458, -23.559944, 749.18], [-46.63191, -23.560031, 753.41], [-46.632636, -23.560117, 754.48], [-46.632819, -23.560121, 754.83], [-46.632934, -23.558242, 762.46], [-46.635054, -23.558352, 772.62], [-46.635157, -23.556779, 772.32], [-46.635263, -23.555491, 771.17], [-46.635373, -23.554501, 771.59], [-46.635428, -23.554494, 771.42], [-46.63442, -23.55241, 783.98], [-46.634483, -23.552355, 784.43], [-46.634429, -23.552242, 783.92], [-46.634506, -23.552211, 784.01], [-46.634416, -23.551987, 783.38], [-46.633912, -23.550948, 779.83], [-46.633489, -23.551113, 778.65], [-46.633262, -23.550649, 773.06], [-46.632587, -23.550927, 765.62], [-46.632245, -23.55023, 766.77], [-46.631806, -23.550215, 765.29], [-46.631739, -23.550329, 765.18], [-46.631571, -23.550244, 765.9], [-46.630988, -23.550001, 767.42], [-46.630837, -23.549884, 765.95], [-46.630808, -23.54985, 765.92], [-46.630792, -23.549774, 765.3], [-46.631545, -23.548215, 747.99], [-46.630856, -23.547952, 738.22], [-46.630419, -23.548844, 742.63], [-46.629884, -23.548626, 739.16]]"
451,2,36,-23.54869688456449,-46.62984935798873,20877,0,68.75,877,1,2/08/2018,1,1,1,5,1,208771,0,68.75,1,5,2,1,0,0,0,0,0,1,1,1,0,1,0,0,2,1,5,20,0,0,0,1908.0,1,20877101,0,27.983193,1,1,71,1,1,2,4,1,954.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,3,45.993065,3,8,2,36,Parque Dom Pedro,-23.54869688456449,-46.62984935798873,20,36,Glicério,-23.562949766086177,-46.63127910172153,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,8,4,2,1,15,0,0,0,10:50:00,1,11:00:00,1,600,15,4,0,0,0.0,1,2,8,452,2.316243,"[[-46.629884, -23.548626, 739.16], [-46.62971, -23.548556, 735.68], [-46.629336, -23.549065, 738.31], [-46.628942, -23.549685, 739.97], [-46.628257, -23.550652, 741.18], [-46.627879, -23.551156, 739.68], [-46.627686, -23.551507, 738.13], [-46.627639, -23.551897, 738.43], [-46.627562, -23.552177, 738.52], [-46.627463, -23.552404, 739.57], [-46.627416, -23.55262, 741.28], [-46.62721, -23.554387, 735.82], [-46.627242, -23.554478, 735.49], [-46.627709, -23.555373, 736.33], [-46.62754, -23.555687, 736.69], [-46.627519, -23.555808, 736.91], [-46.627562, -23.555919, 737.11], [-46.627627, -23.555989, 737.18], [-46.627869, -23.556185, 738.83], [-46.627982, -23.556249, 738.72], [-46.628155, -23.556321, 738.58], [-46.628583, -23.556398, 736.64], [-46.628856, -23.556429, 736.44], [-46.629387, -23.556447, 734.24], [-46.631156, -23.55981, 746.42], [-46.631119, -23.559858, 745.78], [-46.631059, -23.559896, 745.16], [-46.630281, -23.559827, 736.34], [-46.630049, -23.561683, 746.88], [-46.630171, -23.561639, 748.07], [-46.630255, -23.56164, 748.03], [-46.630519, -23.561694, 748.14], [-46.630691, -23.561746, 748.34], [-46.630815, -23.561809, 750.56], [-46.630893, -23.561902, 752.69], [-46.630921, -23.561979, 752.61], [-46.630906, -23.562162, 752.63], [-46.630859, -23.56225, 752.73], [-46.630744, -23.562353, 753.03], [-46.630613, -23.562395, 753.26], [-46.63015, -23.562474, 757.14], [-46.630245, -23.56313, 763.79], [-46.630921, -23.563323, 759.32], [-46.631082, -23.563356, 758.85], [-46.631579, -23.563387, 757.52], [-46.631604, -23.562966, 756.17]]"
452,2,36,-23.54869688456449,-46.62984935798873,20877,0,68.75,877,1,2/08/2018,1,1,1,5,1,208771,0,68.75,1,5,2,1,0,0,0,0,0,1,1,1,0,1,0,0,2,1,5,20,0,0,0,1908.0,1,20877101,0,27.983193,1,1,71,1,1,2,4,1,954.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,4,45.993065,3,8,20,36,Glicério,-23.562949766086177,-46.63127910172153,2,36,Parque Dom Pedro,-23.54869688456449,-46.62984935798873,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,4,8,1,2,15,0,0,0,11:00:00,1,11:10:00,1,600,15,4,0,0,0.0,1,2,3,453,2.656898,"[[-46.631604, -23.562966, 756.17], [-46.631643, -23.562337, 754.82], [-46.631415, -23.560114, 748.18], [-46.631427, -23.560019, 748.69], [-46.631458, -23.559944, 749.18], [-46.63191, -23.560031, 753.41], [-46.632636, -23.560117, 754.48], [-46.632819, -23.560121, 754.83], [-46.632934, -23.558242, 762.46], [-46.635054, -23.558352, 772.62], [-46.635157, -23.556779, 772.32], [-46.635263, -23.555491, 771.17], [-46.635373, -23.554501, 771.59], [-46.635428, -23.554494, 771.42], [-46.63442, -23.55241, 783.98], [-46.634483, -23.552355, 784.43], [-46.634429, -23.552242, 783.92], [-46.634506, -23.552211, 784.01], [-46.634416, -23.551987, 783.38], [-46.633912, -23.550948, 779.83], [-46.633489, -23.551113, 778.65], [-46.633262, -23.550649, 773.06], [-46.632587, -23.550927, 765.62], [-46.632245, -23.55023, 766.77], [-46.631806, -23.550215, 765.29], [-46.631739, -23.550329, 765.18], [-46.631571, -23.550244, 765.9], [-46.630988, -23.550001, 767.42], [-46.630837, -23.549884, 765.95], [-46.630808, -23.54985, 765.92], [-46.630792, -23.549774, 765.3], [-46.631545, -23.548215, 747.99], [-46.630856, -23.547952, 738.22], [-46.630419, -23.548844, 742.63], [-46.629884, -23.548626, 739.16]]"
453,2,36,-23.54869688456449,-46.62984935798873,20877,0,68.75,877,1,2/08/2018,1,1,1,5,1,208771,0,68.75,1,5,2,1,0,0,0,0,0,1,1,1,0,1,0,0,2,1,5,20,0,0,0,1908.0,1,20877101,0,27.983193,1,1,71,1,1,2,4,1,954.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,5,45.993065,3,8,2,36,Parque Dom Pedro,-23.54869688456449,-46.62984935798873,3,36,Praça João Mendes,-23.554415720450567,-46.62873461738906,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,8,4,2,1,15,0,0,0,13:20:00,1,13:30:00,1,600,15,4,0,0,0.0,1,2,8,454,0.992555,"[[-46.629884, -23.548626, 739.16], [-46.62971, -23.548556, 735.68], [-46.629336, -23.549065, 738.31], [-46.628942, -23.549685, 739.97], [-46.628257, -23.550652, 741.18], [-46.627879, -23.551156, 739.68], [-46.627686, -23.551507, 738.13], [-46.627639, -23.551897, 738.43], [-46.627562, -23.552177, 738.52], [-46.627463, -23.552404, 739.57], [-46.627416, -23.55262, 741.28], [-46.62752, -23.552851, 744.53], [-46.628694, -23.555108, 737.24], [-46.629329, -23.554851, 740.87], [-46.629181, -23.554498, 743.96], [-46.628847, -23.554639, 741.72]]"
454,2,36,-23.54869688456449,-46.62984935798873,20877,0,68.75,877,1,2/08/2018,1,1,1,5,1,208771,0,68.75,1,5,2,1,0,0,0,0,0,1,1,1,0,1,0,0,2,1,5,20,0,0,0,1908.0,1,20877101,0,27.983193,1,1,71,1,1,2,4,1,954.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,6,45.993065,3,8,3,36,Praça João Mendes,-23.554415720450567,-46.62873461738906,2,36,Parque Dom Pedro,-23.54869688456449,-46.62984935798873,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,4,8,1,2,15,0,0,0,13:30:00,1,13:40:00,1,600,15,4,0,0,0.0,1,2,3,455,2.292206,"[[-46.628847, -23.554639, 741.72], [-46.628523, -23.554776, 739.48], [-46.629147, -23.556006, 734.52], [-46.6299, -23.55603, 733.68], [-46.63136, -23.55615, 742.99], [-46.63155, -23.556141, 746.89], [-46.631998, -23.556087, 754.69], [-46.631992, -23.553748, 762.39], [-46.633218, -23.553454, 775.69], [-46.63321, -23.553181, 774.04], [-46.633114, -23.552924, 774.91], [-46.633152, -23.552812, 776.24], [-46.633214, -23.552742, 776.97], [-46.633285, -23.552807, 776.58], [-46.634218, -23.553429, 781.93], [-46.634306, -23.553393, 782.49], [-46.634377, -23.553333, 782.95], [-46.634389, -23.553193, 783.64], [-46.634427, -23.553114, 783.64], [-46.634462, -23.553087, 783.69], [-46.634701, -23.552999, 784.59], [-46.63442, -23.55241, 783.98], [-46.634483, -23.552355, 784.43], [-46.634429, -23.552242, 783.92], [-46.634506, -23.552211, 784.01], [-46.634416, -23.551987, 783.38], [-46.633912, -23.550948, 779.83], [-46.633489, -23.551113, 778.65], [-46.633262, -23.550649, 773.06], [-46.632587, -23.550927, 765.62], [-46.632245, -23.55023, 766.77], [-46.631806, -23.550215, 765.29], [-46.631739, -23.550329, 765.18], [-46.631571, -23.550244, 765.9], [-46.630988, -23.550001, 767.42], [-46.630837, -23.549884, 765.95], [-46.630808, -23.54985, 765.92], [-46.630792, -23.549774, 765.3], [-46.631545, -23.548215, 747.99], [-46.630856, -23.547952, 738.22], [-46.630419, -23.548844, 742.63], [-46.629884, -23.548626, 739.16]]"
455,2,36,-23.54869688456449,-46.62984935798873,20877,0,68.75,877,1,2/08/2018,1,1,1,5,1,208771,0,68.75,1,5,2,1,0,0,0,0,0,1,1,1,0,1,0,0,2,1,5,20,0,0,0,1908.0,1,20877101,0,27.983193,1,1,71,1,1,2,4,1,954.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,7,45.993065,3,8,2,36,Parque Dom Pedro,-23.54869688456449,-46.62984935798873,3,36,Praça João Mendes,-23.554415720450567,-46.62873461738906,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,8,4,2,1,15,0,0,0,18:00:00,1,18:10:00,1,600,15,4,0,0,0.0,1,2,8,456,0.992555,"[[-46.629884, -23.548626, 739.16], [-46.62971, -23.548556, 735.68], [-46.629336, -23.549065, 738.31], [-46.628942, -23.549685, 739.97], [-46.628257, -23.550652, 741.18], [-46.627879, -23.551156, 739.68], [-46.627686, -23.551507, 738.13], [-46.627639, -23.551897, 738.43], [-46.627562, -23.552177, 738.52], [-46.627463, -23.552404, 739.57], [-46.627416, -23.55262, 741.28], [-46.62752, -23.552851, 744.53], [-46.628694, -23.555108, 737.24], [-46.629329, -23.554851, 740.87], [-46.629181, -23.554498, 743.96], [-46.628847, -23.554639, 741.72]]"
456,2,36,-23.54869688456449,-46.62984935798873,20877,0,68.75,877,1,2/08/2018,1,1,1,5,1,208771,0,68.75,1,5,2,1,0,0,0,0,0,1,1,1,0,1,0,0,2,1,5,20,0,0,0,1908.0,1,20877101,0,27.983193,1,1,71,1,1,2,4,1,954.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,8,45.993065,3,8,3,36,Praça João Mendes,-23.554415720450567,-46.62873461738906,2,36,Parque Dom Pedro,-23.54869688456449,-46.62984935798873,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,4,8,1,2,15,0,0,0,18:10:00,1,18:20:00,1,600,15,4,0,0,0.0,1,2,3,457,2.292206,"[[-46.628847, -23.554639, 741.72], [-46.628523, -23.554776, 739.48], [-46.629147, -23.556006, 734.52], [-46.6299, -23.55603, 733.68], [-46.63136, -23.55615, 742.99], [-46.63155, -23.556141, 746.89], [-46.631998, -23.556087, 754.69], [-46.631992, -23.553748, 762.39], [-46.633218, -23.553454, 775.69], [-46.63321, -23.553181, 774.04], [-46.633114, -23.552924, 774.91], [-46.633152, -23.552812, 776.24], [-46.633214, -23.552742, 776.97], [-46.633285, -23.552807, 776.58], [-46.634218, -23.553429, 781.93], [-46.634306, -23.553393, 782.49], [-46.634377, -23.553333, 782.95], [-46.634389, -23.553193, 783.64], [-46.634427, -23.553114, 783.64], [-46.634462, -23.553087, 783.69], [-46.634701, -23.552999, 784.59], [-46.63442, -23.55241, 783.98], [-46.634483, -23.552355, 784.43], [-46.634429, -23.552242, 783.92], [-46.634506, -23.552211, 784.01], [-46.634416, -23.551987, 783.38], [-46.633912, -23.550948, 779.83], [-46.633489, -23.551113, 778.65], [-46.633262, -23.550649, 773.06], [-46.632587, -23.550927, 765.62], [-46.632245, -23.55023, 766.77], [-46.631806, -23.550215, 765.29], [-46.631739, -23.550329, 765.18], [-46.631571, -23.550244, 765.9], [-46.630988, -23.550001, 767.42], [-46.630837, -23.549884, 765.95], [-46.630808, -23.54985, 765.92], [-46.630792, -23.549774, 765.3], [-46.631545, -23.548215, 747.99], [-46.630856, -23.547952, 738.22], [-46.630419, -23.548844, 742.63], [-46.629884, -23.548626, 739.16]]"
457,2,36,-23.54869688456449,-46.62984935798873,20877,0,68.75,877,1,2/08/2018,1,1,1,5,1,208771,0,68.75,1,5,2,1,0,0,0,0,0,1,1,1,0,1,0,0,2,1,5,20,0,0,0,1908.0,1,20877102,1,72.75143299999998,2,4,8,2,3,1,8,2,0.0,3,36,333759.0,7394160.0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,119.573967,3,4,2,36,Parque Dom Pedro,-23.54869688456449,-46.62984935798873,20,36,Glicério,-23.562949766086177,-46.63127910172153,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,8,4,2,2,15,0,0,0,08:00:00,1,08:10:00,1,600,15,4,0,0,0.0,1,2,8,458,2.316243,"[[-46.629884, -23.548626, 739.16], [-46.62971, -23.548556, 735.68], [-46.629336, -23.549065, 738.31], [-46.628942, -23.549685, 739.97], [-46.628257, -23.550652, 741.18], [-46.627879, -23.551156, 739.68], [-46.627686, -23.551507, 738.13], [-46.627639, -23.551897, 738.43], [-46.627562, -23.552177, 738.52], [-46.627463, -23.552404, 739.57], [-46.627416, -23.55262, 741.28], [-46.62721, -23.554387, 735.82], [-46.627242, -23.554478, 735.49], [-46.627709, -23.555373, 736.33], [-46.62754, -23.555687, 736.69], [-46.627519, -23.555808, 736.91], [-46.627562, -23.555919, 737.11], [-46.627627, -23.555989, 737.18], [-46.627869, -23.556185, 738.83], [-46.627982, -23.556249, 738.72], [-46.628155, -23.556321, 738.58], [-46.628583, -23.556398, 736.64], [-46.628856, -23.556429, 736.44], [-46.629387, -23.556447, 734.24], [-46.631156, -23.55981, 746.42], [-46.631119, -23.559858, 745.78], [-46.631059, -23.559896, 745.16], [-46.630281, -23.559827, 736.34], [-46.630049, -23.561683, 746.88], [-46.630171, -23.561639, 748.07], [-46.630255, -23.56164, 748.03], [-46.630519, -23.561694, 748.14], [-46.630691, -23.561746, 748.34], [-46.630815, -23.561809, 750.56], [-46.630893, -23.561902, 752.69], [-46.630921, -23.561979, 752.61], [-46.630906, -23.562162, 752.63], [-46.630859, -23.56225, 752.73], [-46.630744, -23.562353, 753.03], [-46.630613, -23.562395, 753.26], [-46.63015, -23.562474, 757.14], [-46.630245, -23.56313, 763.79], [-46.630921, -23.563323, 759.32], [-46.631082, -23.563356, 758.85], [-46.631579, -23.563387, 757.52], [-46.631604, -23.562966, 756.17]]"
458,2,36,-23.54869688456449,-46.62984935798873,20877,0,68.75,877,1,2/08/2018,1,1,1,5,1,208771,0,68.75,1,5,2,1,0,0,0,0,0,1,1,1,0,1,0,0,2,1,5,20,0,0,0,1908.0,1,20877102,0,72.75143299999998,2,4,8,2,3,1,8,2,0.0,3,36,333759.0,7394160.0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,119.573967,3,4,20,36,Glicério,-23.562949766086177,-46.63127910172153,2,36,Parque Dom Pedro,-23.54869688456449,-46.62984935798873,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,4,8,2,2,15,0,0,0,11:00:00,1,11:10:00,1,600,15,4,0,0,0.0,1,2,3,459,2.656898,"[[-46.631604, -23.562966, 756.17], [-46.631643, -23.562337, 754.82], [-46.631415, -23.560114, 748.18], [-46.631427, -23.560019, 748.69], [-46.631458, -23.559944, 749.18], [-46.63191, -23.560031, 753.41], [-46.632636, -23.560117, 754.48], [-46.632819, -23.560121, 754.83], [-46.632934, -23.558242, 762.46], [-46.635054, -23.558352, 772.62], [-46.635157, -23.556779, 772.32], [-46.635263, -23.555491, 771.17], [-46.635373, -23.554501, 771.59], [-46.635428, -23.554494, 771.42], [-46.63442, -23.55241, 783.98], [-46.634483, -23.552355, 784.43], [-46.634429, -23.552242, 783.92], [-46.634506, -23.552211, 784.01], [-46.634416, -23.551987, 783.38], [-46.633912, -23.550948, 779.83], [-46.633489, -23.551113, 778.65], [-46.633262, -23.550649, 773.06], [-46.632587, -23.550927, 765.62], [-46.632245, -23.55023, 766.77], [-46.631806, -23.550215, 765.29], [-46.631739, -23.550329, 765.18], [-46.631571, -23.550244, 765.9], [-46.630988, -23.550001, 767.42], [-46.630837, -23.549884, 765.95], [-46.630808, -23.54985, 765.92], [-46.630792, -23.549774, 765.3], [-46.631545, -23.548215, 747.99], [-46.630856, -23.547952, 738.22], [-46.630419, -23.548844, 742.63], [-46.629884, -23.548626, 739.16]]"
