address,capacity,lat,lon,name,project
68 - Praça Nicolau Scarpa,15,-23.570446,-46.664754,68 - Praça Nicolau Scarpa,BikeSampa
Oscar Freire,11,-23.565809,-46.665977,69 - Oscar Freire,BikeSampa
Alameda Casa Branca,15,-23.56817,-46.66222,70 - Alameda Casa Branca,BikeSampa
71 - Pamplona,15,-23.569899,-46.659679,71 - Pamplona,BikeSampa
72 - Queluz,15,-23.572689,-46.658629,72 - Queluz,BikeSampa
73 - Ginásio Ibirapuera,11,-23.576096,-46.655579,73 - Ginásio Ibirapuera,BikeSampa
75 - Viaduto Tutóia,11,-23.580296,-46.650472,75 - Viaduto Tutóia,BikeSampa
76 - 8° Batalhão,15,-23.574333,-46.654062,76 - 8° Batalhão,BikeSampa
Alameda j. Eugênio de Lima,11,-23.57046,-46.655306,77 - Alameda j. Eugênio de Lima,BikeSampa
78 - Alameda Franca,15,-23.5683394,-46.6558291,78 - Alameda Franca,BikeSampa
79 - R. José Maria Lisboa,15,-23.566274,-46.660353,79 - R. José Maria Lisboa,BikeSampa
Praça Alexandre de Gusmão,17,-23.564341,-46.657046,80 - Praça Alexandre de Gusmão,BikeSampa
81 - Colégio Dante Alighieri,15,-23.5632889,-46.6601801,81 - Colégio Dante Alighieri,BikeSampa
82- Alameda Min. Rocha Azevedo,15,-23.5647081,-46.6620336,82- Alameda Min. Rocha Azevedo,BikeSampa
83- Augusta,15,-23.5627569,-46.6649566,83- Augusta,BikeSampa
94 - Alameda Jaú,15,-23.5689848,-46.6516445,94 - Alameda Jaú,BikeSampa
Metrô Brigadeiro,11,-23.568361,-46.648988,95 - Metrô Brigadeiro,BikeSampa
96 - Tutóia,11,-23.573772,-46.651426,96 - Tutóia,BikeSampa
99 - R. Tomás Carvalhal,15,-23.577262,-46.64712,99 - R. Tomás Carvalhal,BikeSampa
100 - Itaú Cultural,11,-23.570599,-46.645858,100 - Itaú Cultural,BikeSampa
101 -  Praça Gen. Gentil Falcão,11,-23.604952,-46.695012,101 -  Praça Gen. Gentil Falcão,BikeSampa
102 - Rua James Watt,23,-23.611846,-46.694956,102 - Rua James Watt,BikeSampa
103 - Rua Hans Oerted,23,-23.608902,-46.694772,103 - Rua Hans Oerted,BikeSampa
105 - Praça João Duram Alonso,19,-23.6024438,-46.6924783,105 - Praça João Duram Alonso,BikeSampa
106 - Rua Florida,15,-23.609066,-46.6915033,106 - Rua Florida,BikeSampa
107 - Rua Indiana,11,-23.607565,-46.688398,107 - Rua Indiana,BikeSampa
108 - Praça Prof. José Lannes,7,-23.6012684,-46.6916317,108 - Praça Prof. José Lannes,BikeSampa
