tier,top,min,flow_counts,flows_perc
4,3007.6960390000004,983.402672,46,5.9973924380704045
3,982.273848,631.551977,75,9.778357235984355
2,631.551977,294.966537,142,18.513689700130378
1,292.2454160000001,6.339179,504,65.71056062581486
