i_start,j_start,i_end,j_end,trip counts,ID_ORDEM
13,4,12,6,307.19207400000005,"24698,34050,125168"
13,4,13,2,463.762602,"34267,125970"
13,4,13,3,572.479137,"34385,125064,34048,34013,125200,124907,34387,114533"
13,4,13,4,242.040668,"125243,41518,125241,41519"
13,4,13,5,617.5403670000001,"26821,34790,34792,34131,34460,34271,34087,125376"
13,4,13,6,79.622434,26524
13,4,13,7,255.599233,28520
13,4,13,8,226.236403,5479
13,4,14,4,154.800474,"41176,125161"
13,4,14,5,48.563755,37848
13,5,11,4,176.151615,26740
13,5,11,5,350.77071,"95274,28527"
13,5,12,5,393.02439200000003,"28155,27579,34000,36741"
13,5,12,6,565.852468,"24473,25782,26007,24896"
13,5,12,7,212.53360600000002,"23152,33208"
13,5,13,2,37.708902,33093
13,5,13,3,176.151615,26722
13,5,13,4,670.71846,"34274,26818,34088,125164,34132,34457,34793,34791,125377"
13,5,13,5,1171.374436,"33404,33535,33507,33505,32748,33506,33502,32745,125163,33405,36997,33536"
13,5,13,6,538.432458,"39742,33361,32641,27130,29163"
13,5,13,7,262.560346,7287
13,5,14,3,50.574951,42405
13,5,14,4,1046.036009,"33514,33175,41493,41670,41356,41546,39173,34168"
13,5,14,5,821.0481139999999,"37525,39182,37533,39331"
13,5,14,7,44.508981000000006,"13633,13639"
13,5,14,8,64.036073,32590
13,6,11,4,601.763643,"107152,32020,28604"
13,6,12,3,185.908847,"116120,114135"
13,6,12,4,79.622434,26519
13,6,12,5,296.079544,"27140,27575,27521"
13,6,12,7,174.204676,24862
13,6,13,2,287.494677,125974
13,6,13,4,79.622434,26523
13,6,13,5,306.96041199999996,"32642,27129,33362"
13,6,13,6,704.261468,"31188,31898,32380,31897,32381,31187,29518,29507,116119,29519,29508"
13,6,13,7,1084.968063,"32440,8113,29509,31185,29878,21208,30461,30464,29301,31948"
13,6,13,9,298.2383,86747
13,6,14,4,95.431133,41702
13,6,14,5,100.238106,34633
13,6,14,6,32.721625,32284
13,6,14,7,154.776984,"31032,46655"
13,6,14,8,236.806023,"39743,31314"
13,6,15,8,31.030915000000004,11242
13,7,11,4,147.563342,31501
13,7,11,5,255.599233,28521
13,7,12,5,341.613252,"7569,29353"
13,7,12,6,38.995647,23563
13,7,12,8,294.05590400000006,"19452,20041,20039"
13,7,13,5,262.560346,7284
13,7,13,6,1084.968063,"31186,32441,31949,8112,21207,29298,30462,30465,29879,29510"
13,7,13,7,1862.4855179999995,"29352,8095,23487,23484,7092,8094,23632,23672,23670,23631,23485,23488,23669,23671,8093,29351,29349,7093,29350"
13,7,13,8,93.612326,7868
13,7,13,11,358.72779,18201
13,7,14,5,48.563755,37853
13,7,14,6,447.317738,"7585,35946,8902"
13,7,14,7,374.13714,"9117,21789,7870"
13,7,14,8,127.77613500000002,"6964,8395"
13,7,14,9,88.420722,3195
13,8,12,9,71.885533,18673
13,8,13,4,226.236403,5478
13,8,13,7,93.612326,7869
13,8,13,8,213.638976,"18828,18827"
13,8,13,9,77.090777,87056
13,8,14,7,159.931645,6136
13,8,14,8,542.6941609999999,"461,457,451,453,459,463,455"
13,8,14,9,433.446555,5373
13,9,12,7,298.2383,86745
13,9,12,8,160.76378699999998,"87053,87062"
13,9,12,9,77.090777,87150
13,9,12,10,257.770412,87336
13,9,13,8,77.090777,87055
13,9,13,9,1863.9383579999999,"86546,86552,86556,87174,86557,86547,86553,87173"
13,9,13,10,189.83138500000004,"90494,17923"
13,9,13,11,155.37403700000004,17786
13,9,14,5,274.495562,39538
13,9,14,8,59.478471,85312
13,10,12,10,1134.598972,"91156,90188"
13,10,12,11,34.457348,90256
13,10,13,8,433.446555,5375
13,10,13,9,345.2054220000001,"17785,90493,17922"
13,10,13,10,351.79571,"90289,90288,16823,16824"
13,11,13,7,358.72779,18200
13,11,13,10,155.37403700000004,17787
13,11,14,13,434.11258,77521
13,12,13,13,1505.188154,"76736,76734"
13,12,15,9,46.21054,63182
13,13,12,6,69.2028,25791
13,13,13,12,1505.188154,"76735,76733"
13,15,15,14,527.489716,79664
13,16,14,8,267.153315,79258
14,0,15,1,483.248368,177357
14,1,13,1,190.754211,124354
14,2,13,1,120.60190899999999,"123829,46300"
14,2,14,2,601.604426,"124479,124480"
14,2,14,3,225.947651,"46482,45346,45348,45793,45795"
14,2,14,7,50.155866,46430
14,2,15,8,933.963888,124488
14,3,12,5,50.574951,42567
14,3,13,3,109.208763,"42652,42146"
14,3,13,5,50.574951,42402
14,3,14,2,225.947651,"46483,45345,45347,45792,45794"
14,3,15,4,393.489521,52877
14,4,13,4,101.622381,41175
14,4,13,5,655.007383,"41492,33176,41669,41353,33518,41545,125162"
14,4,13,6,95.431133,41701
14,4,14,5,421.01230699999996,"39358,39957"
14,4,14,6,55.976883,12330
14,4,15,3,409.500198,"43335,42690"
14,4,15,4,332.555635,43333
14,5,12,5,48.563755,37844
14,5,13,2,48.563755,37664
14,5,13,3,71.106223,34670
14,5,13,4,48.563755,37854
14,5,13,5,1309.9374480000001,"37530,39330,37522,39741,39172,39179"
14,5,13,6,100.238106,34632
14,5,13,9,274.495562,39535
14,5,14,4,421.01230699999996,"39359,39954"
14,5,14,5,410.67459199999996,"34612,34611,39940,39939"
14,5,14,6,48.563755,37849
14,5,14,7,248.51103,"38844,37738"
14,5,15,7,48.563755,37824
14,6,12,4,93.488666,9974
14,6,12,6,21.471303,11230
14,6,12,7,55.976883,12213
14,6,13,3,22.343047,11680
14,6,13,6,63.75254000000001,"32285,11244"
14,6,13,7,495.881493,"37850,8903,7586,35945"
14,6,14,4,268.815788,"44041,12327"
14,6,14,5,48.563755,37740
14,6,14,6,384.726699,"40811,40820,36928,40468,40812,40469,36929"
14,6,14,7,924.722036,"37707,9610,9905,906,12305"
14,6,14,9,58.538265,40571
14,6,15,5,41.293237,40050
14,6,16,4,73.654436,35943
14,7,12,5,487.5218720000001,"10834,1012"
14,7,13,5,44.508981000000006,"13632,13638"
14,7,13,6,99.063523,46652
14,7,13,7,405.482347,"8398,7871,21792"
14,7,13,8,159.931645,6137
14,7,14,2,50.155866,46431
14,7,14,5,199.947275,38847
14,7,14,6,947.065083,"9611,12308,37708,11682,905,9906"
14,7,14,7,2926.8895729999995,"1997,901,12928,1103,12929,13515,13516,13517,13524,1998,902,1104"
14,7,14,8,971.844343,"3167,3165,1638,2447,1355"
14,7,15,8,93.962294,13560
14,7,16,5,380.501735,56184
14,7,17,10,1132.703695,59261
14,8,10,5,206.804346,100326
14,8,12,7,35.095453000000006,5009
14,8,13,5,64.036073,32593
14,8,13,6,147.563342,31315
14,8,13,7,41.343654,6965
14,8,13,8,542.6941609999999,"454,456,460,462,458,452,450"
14,8,13,9,59.478471,85313
14,8,13,16,267.153315,79259
14,8,14,5,89.242681,39744
14,8,14,7,1058.276824,"2446,1356,3164,3166,1639,8396"
14,8,14,8,162.943372,"3533,3532,2191,2189"
14,8,14,9,431.757475,"4739,4737,15808,4457,2490,3097,2496,2517,3094,3431,3100"
14,8,14,10,98.380899,4434
14,8,15,9,141.555815,"62823,62889"
14,9,13,7,88.420722,3194
14,9,13,10,433.446555,5374
14,9,14,6,58.538265,40572
14,9,14,8,431.7574750000001,"3093,3096,3099,15809,4740,4738,3432,2497,2491,2518,4458"
14,9,14,9,401.774256,"2801,4178,4176,3095,2730,3098,2802,2731,4179,4177"
14,9,14,10,99.452015,"15502,15504"
14,9,15,9,62.263547,62825
14,9,15,10,342.324366,62145
14,9,15,13,66.23555,66675
14,10,13,9,77.45102299999998,15886
14,10,14,8,98.380899,4435
14,10,14,9,99.452015,"15503,15501"
14,10,14,11,582.7121,61783
14,10,15,9,883.2574000000003,"14482,61760"
14,11,14,10,582.7121,61782
14,11,14,12,1312.7869799999999,"64497,75787"
14,12,14,11,1312.7869799999999,"64496,75786"
14,13,13,11,434.11258,77520
14,13,14,15,901.86707,"65294,65292"
14,15,14,13,901.86707,"65293,65291"
14,16,15,16,133.349946,68217
14,19,15,18,489.938079,71644
15,1,14,0,483.248368,177355
15,3,14,4,409.500198,"43336,42689"
15,4,14,3,393.489521,52876
15,4,14,4,332.555635,43334
15,4,16,4,766.2609669999997,52238
15,5,14,6,41.293237,40049
15,5,15,6,185.70806699999997,"56014,56138"
15,6,15,5,185.70806699999997,"56013,56140"
15,6,15,7,232.298098,1798
15,6,16,6,1014.86131,56863
15,6,17,4,485.014355,51372
15,7,14,5,48.563755,37827
15,7,15,6,232.298098,1797
15,7,15,8,55.298221,1858
15,7,16,11,422.958853,60642
15,8,13,12,31.858587,63181
15,8,14,2,933.963888,124489
15,8,14,6,31.030915000000004,11243
15,8,14,7,93.962294,13561
15,8,15,7,55.298221,1859
15,8,15,8,141.442834,"53644,53962,53645,53961"
15,9,14,8,141.555815,"62822,62888"
15,9,14,9,62.263547,62824
15,9,14,10,883.2574000000003,"61761,14483"
15,9,15,8,31.858587,63180
15,9,15,9,458.088392,"62718,63088,63090,62716,63089,63091,62717,62715"
15,9,15,10,79.292268,62831
15,9,16,9,271.691487,59518
15,10,14,9,342.324366,62144
15,10,15,9,79.292268,62830
15,10,15,11,266.568826,61743
15,10,16,9,1270.938503,62342
15,11,15,10,266.568826,61742
15,12,15,13,184.454506,"66577,66586,66582"
15,13,14,9,66.23555,66672
15,13,15,12,184.454506,"66576,66581,66585"
15,14,13,15,527.489716,79665
15,14,16,15,1013.937561,65742
15,15,17,17,529.529116,133179
15,16,14,16,133.349946,68216
15,16,16,16,188.28099999999998,68929
15,18,14,19,489.938079,71643
15,18,15,18,274.51338,"71971,71970"
15,18,16,18,489.938079,71666
15,19,16,19,1532.724811,72426
16,2,16,2,2258.061784,"47873,47872"
16,4,14,6,73.654436,35944
16,4,15,4,766.2609669999997,52237
16,5,14,7,380.501735,56183
16,5,16,6,770.062452,56934
16,6,15,6,1014.86131,56862
16,6,16,5,770.062452,56933
16,8,17,9,1513.301118,"58190,58183"
16,9,15,9,1542.6299900000001,"62343,59517"
16,9,18,10,350.106964,58576
16,10,16,11,355.589808,60965
16,11,15,7,422.958853,60641
16,11,16,10,355.589808,60964
16,11,17,10,423.042671,60408
16,11,17,17,869.6128880000001,"60589,60587"
16,13,16,17,390.489116,134924
16,13,17,15,900.950372,132694
16,14,17,13,717.645441,132288
16,15,15,14,1013.937561,65743
16,15,17,13,62.58819200000001,130635
16,16,15,16,188.28099999999998,68930
16,16,16,17,496.052163,69354
16,17,16,13,390.489116,134923
16,17,16,16,496.052163,69353
16,18,15,18,489.938079,71665
16,19,15,19,3007.6960390000004,"72427,72425"
17,4,15,6,485.014355,51371
17,9,16,8,1513.301118,"58189,58182"
17,10,14,7,1132.703695,59260
17,10,16,11,423.042671,60409
17,13,16,14,717.645441,132287
17,13,16,15,62.58819200000001,130636
17,13,17,14,214.14833,132372
17,14,17,13,214.14833,132374
17,15,16,13,900.950372,132693
17,17,15,15,529.529116,133178
17,17,16,11,869.6128880000001,"60590,60588"
18,10,16,9,350.106964,58577
18,18,18,19,1867.4132249999998,"133056,133058,133049"
18,19,18,18,1867.4132249999998,"133057,133059,133050"
