i_start,j_start,i_end,j_end,ZONA_O,ZONA_D,trip counts,start_lat,start_lon,end_lat,end_lon
17,10,14,8,151,7,1132.703695,-23.45112528616478,-46.589254963197135,-23.5312742368102,-46.634353780617246
14,7,13,6,6,78,147.563342,-23.53899672605772,-46.638357897552716,-23.563904292619352,-46.6664477143691
13,7,13,6,27,78,256.262226,-23.565480303659893,-46.64440855782503,-23.563904292619352,-46.6664477143691
13,8,13,6,49,78,104.030268,-23.578838827767267,-46.634369972314616,-23.563904292619352,-46.6664477143691
13,5,13,6,68,78,517.924097,-23.584942244800423,-46.68001414040712,-23.563904292619352,-46.6664477143691
11,5,13,6,72,78,128.670164,-23.619401410613907,-46.691971149226745,-23.563904292619352,-46.6664477143691
13,4,13,6,82,78,89.242681,-23.56712486114036,-46.69634169814336,-23.563904292619352,-46.6664477143691
14,7,15,9,6,164,79.292268,-23.53899672605772,-46.638357897552716,-23.519084765660327,-46.601962863921216
14,9,15,9,12,164,124.527094,-23.53026998479985,-46.61716293061853,-23.519084765660327,-46.601962863921216
14,10,15,9,40,164,26.816054,-23.546568937815767,-46.5849742896901,-23.519084765660327,-46.601962863921216
15,11,15,9,161,164,856.4413460000003,-23.516518353867426,-46.56917904319626,-23.519084765660327,-46.601962863921216
15,9,15,9,163,164,251.038326,-23.502661094217874,-46.60334819467893,-23.519084765660327,-46.601962863921216
15,9,15,9,165,164,57.298138,-23.51357411241457,-46.61346594578148,-23.519084765660327,-46.601962863921216
14,8,14,7,7,6,340.106426,-23.5312742368102,-46.634353780617246,-23.53899672605772,-46.638357897552716
14,8,14,7,9,6,161.546623,-23.52399591239259,-46.630479528844226,-23.53899672605772,-46.638357897552716
14,6,14,7,30,6,186.977332,-23.54525797281215,-46.656141582777,-23.53899672605772,-46.638357897552716
14,6,14,7,36,6,649.162379,-23.53295448027482,-46.65642119966119,-23.53899672605772,-46.638357897552716
13,6,14,7,78,6,147.563342,-23.563904292619352,-46.6664477143691,-23.53899672605772,-46.638357897552716
15,9,14,7,164,6,79.292268,-23.519084765660327,-46.601962863921216,-23.53899672605772,-46.638357897552716
14,8,14,8,7,13,23.950382,-23.5312742368102,-46.634353780617246,-23.537396335830746,-46.62127737486644
14,9,14,8,12,13,14.351012,-23.53026998479985,-46.61716293061853,-23.537396335830746,-46.62127737486644
14,8,17,10,7,151,1132.703695,-23.5312742368102,-46.634353780617246,-23.45112528616478,-46.589254963197135
17,11,17,10,155,151,423.042671,-23.448472986850657,-46.57316525434836,-23.45112528616478,-46.589254963197135
14,7,14,7,8,37,390.515555,-23.521864162000714,-46.64453190934671,-23.52372436888297,-46.65416695241702
14,9,14,7,12,37,440.924664,-23.53026998479985,-46.61716293061853,-23.52372436888297,-46.65416695241702
13,7,14,7,57,37,225.43754,-23.57408129453783,-46.64726553363551,-23.52372436888297,-46.65416695241702
13,5,14,7,77,37,44.508981000000006,-23.557273436225838,-46.67506569956685,-23.52372436888297,-46.65416695241702
14,2,14,7,106,37,50.155866,-23.535877752681195,-46.738529145800506,-23.52372436888297,-46.65416695241702
15,8,14,7,133,37,93.962294,-23.49840364572761,-46.63230318457593,-23.52372436888297,-46.65416695241702
14,7,15,8,8,131,55.298221,-23.521864162000714,-46.64453190934671,-23.5155596279124,-46.62451900705316
15,8,15,8,130,131,27.047286,-23.506988846325182,-46.619513498497064,-23.5155596279124,-46.62451900705316
14,2,15,8,338,131,933.963888,-23.541379818375827,-46.74627174419042,-23.5155596279124,-46.62451900705316
14,8,10,4,9,280,206.804346,-23.52399591239259,-46.630479528844226,-23.67093595082273,-46.6966029298312
9,5,10,4,283,280,132.382264,-23.689297959218774,-46.68594918092275,-23.67093595082273,-46.6966029298312
14,8,14,9,10,12,39.364409,-23.52314851560299,-46.621040131502895,-23.53026998479985,-46.61716293061853
14,8,14,9,13,12,14.351012,-23.537396335830746,-46.62127737486644,-23.53026998479985,-46.61716293061853
14,8,14,9,17,12,55.04877800000002,-23.54250111474139,-46.62328832242004,-23.53026998479985,-46.61716293061853
13,7,14,9,29,12,88.420722,-23.55827919897125,-46.653837231488744,-23.53026998479985,-46.61716293061853
14,7,14,9,37,12,440.924664,-23.52372436888297,-46.65416695241702,-23.53026998479985,-46.61716293061853
15,9,14,9,164,12,124.527094,-23.519084765660327,-46.601962863921216,-23.53026998479985,-46.61716293061853
14,8,14,9,10,14,12.294279,-23.52314851560299,-46.621040131502895,-23.53801618939185,-46.613826280966556
14,8,14,9,17,14,70.19090600000001,-23.54250111474139,-46.62328832242004,-23.53801618939185,-46.613826280966556
14,8,14,10,10,39,7.434710000000001,-23.52314851560299,-46.621040131502895,-23.53257787931025,-46.5927924280908
14,9,14,8,11,17,82.57316700000003,-23.52476570049535,-46.61078269173937,-23.54250111474139,-46.62328832242004
14,9,14,8,14,17,70.19090600000001,-23.53801618939185,-46.613826280966556,-23.54250111474139,-46.62328832242004
14,9,14,8,42,17,107.344923,-23.535444489657372,-46.60570092905122,-23.54250111474139,-46.62328832242004
12,7,14,8,54,17,35.095453000000006,-23.59641138099968,-46.64322589294111,-23.54250111474139,-46.62328832242004
14,9,14,8,12,10,39.364409,-23.53026998479985,-46.61716293061853,-23.52314851560299,-46.621040131502895
14,9,14,8,14,10,12.294279,-23.53801618939185,-46.613826280966556,-23.52314851560299,-46.621040131502895
14,10,14,8,39,10,7.434710000000001,-23.53257787931025,-46.5927924280908,-23.52314851560299,-46.621040131502895
14,9,14,9,12,11,55.04877800000002,-23.53026998479985,-46.61716293061853,-23.52476570049535,-46.61078269173937
14,8,14,9,17,11,27.52438900000001,-23.54250111474139,-46.62328832242004,-23.52476570049535,-46.61078269173937
14,9,13,7,12,29,88.420722,-23.53026998479985,-46.61716293061853,-23.55827919897125,-46.653837231488744
13,6,13,7,32,29,48.563755,-23.55447597420116,-46.660050109121244,-23.55827919897125,-46.653837231488744
13,6,13,7,79,29,74.747712,-23.56021185850087,-46.66145170680025,-23.55827919897125,-46.653837231488744
14,9,14,10,15,41,99.452015,-23.54380422927701,-46.61098832032493,-23.54039335994764,-46.59449505474887
14,8,14,10,16,41,98.380899,-23.549926067483568,-46.61857302192611,-23.54039335994764,-46.59449505474887
14,9,14,9,15,42,153.63375,-23.54380422927701,-46.61098832032493,-23.535444489657372,-46.60570092905122
14,8,14,9,16,42,117.933058,-23.549926067483568,-46.61857302192611,-23.535444489657372,-46.60570092905122
14,8,14,9,17,42,107.344923,-23.54250111474139,-46.62328832242004,-23.535444489657372,-46.60570092905122
15,10,14,9,162,42,342.324366,-23.51851582686425,-46.589854004327755,-23.535444489657372,-46.60570092905122
14,8,13,16,16,220,267.153315,-23.549926067483568,-46.61857302192611,-23.557569066058477,-46.47455977435778
14,8,12,7,17,54,35.095453000000006,-23.54250111474139,-46.62328832242004,-23.59641138099968,-46.64322589294111
12,5,12,7,71,54,53.313292,-23.608998167214626,-46.684815784763686,-23.59641138099968,-46.64322589294111
12,5,12,7,73,54,292.2454160000001,-23.601182909567786,-46.69191257233786,-23.59641138099968,-46.64322589294111
11,2,12,7,304,54,848.2824720000001,-23.65099370634615,-46.744590384746544,-23.59641138099968,-46.64322589294111
13,9,14,10,18,43,433.446555,-23.56042944094143,-46.61512101984746,-23.55082673049437,-46.59740747481478
13,11,14,10,47,43,141.440507,-23.5667762072316,-46.57843743262292,-23.55082673049437,-46.59740747481478
14,6,14,10,93,43,58.538265,-23.529652304052462,-46.666134635462925,-23.55082673049437,-46.59740747481478
15,14,14,10,177,43,66.23555,-23.491912577798576,-46.52137598707579,-23.55082673049437,-46.59740747481478
13,9,13,9,18,241,77.090777,-23.56042944094143,-46.61512101984746,-23.580825840955477,-46.599968864174144
13,10,13,9,45,241,77.090777,-23.567241053207997,-46.59752361117296,-23.580825840955477,-46.599968864174144
12,9,13,9,237,241,77.090777,-23.596800041800627,-46.60141582945959,-23.580825840955477,-46.599968864174144
12,9,13,9,239,241,77.090777,-23.589821823255754,-46.613061755046566,-23.580825840955477,-46.599968864174144
12,10,13,9,242,241,982.273848,-23.602339782414674,-46.58852294919813,-23.580825840955477,-46.599968864174144
13,9,12,10,18,253,34.457348,-23.56042944094143,-46.61512101984746,-23.591257199122506,-46.587641265907486
13,10,12,10,45,253,34.457348,-23.567241053207997,-46.59752361117296,-23.591257199122506,-46.587641265907486
13,11,12,10,254,253,34.457348,-23.58388530951603,-46.57619988719468,-23.591257199122506,-46.587641265907486
12,11,12,10,255,253,34.457348,-23.59891035661064,-46.566279520466026,-23.591257199122506,-46.587641265907486
12,13,12,10,258,253,31.621063,-23.603837124634147,-46.53703224028157,-23.591257199122506,-46.587641265907486
13,8,13,3,19,339,226.236403,-23.57113794125981,-46.619428664887415,-23.562060628265066,-46.727192339050816
14,6,13,3,33,339,22.343047,-23.55060971121055,-46.66847398408605,-23.562060628265066,-46.727192339050816
13,5,13,3,68,339,176.151615,-23.584942244800423,-46.68001414040712,-23.562060628265066,-46.727192339050816
13,5,13,3,80,339,37.708902,-23.56344238628397,-46.6851348752902,-23.562060628265066,-46.727192339050816
13,4,13,3,82,339,475.56020800000005,-23.56712486114036,-46.69634169814336,-23.562060628265066,-46.727192339050816
13,5,13,3,83,339,71.106223,-23.554016374114113,-46.68856496706087,-23.562060628265066,-46.727192339050816
14,5,13,3,87,339,48.563755,-23.544253588094644,-46.68385889373289,-23.562060628265066,-46.727192339050816
14,3,13,3,97,339,109.208763,-23.54356625722415,-46.720638745373314,-23.562060628265066,-46.727192339050816
13,4,13,3,317,339,20.247036,-23.58582506952466,-46.69965204223903,-23.562060628265066,-46.727192339050816
11,3,13,3,321,339,160.867774,-23.63258333451283,-46.72812070790223,-23.562060628265066,-46.727192339050816
13,1,13,3,335,339,410.532709,-23.5781689419068,-46.758285121389115,-23.562060628265066,-46.727192339050816
13,4,13,3,340,339,206.65246,-23.569854189884182,-46.71004467854865,-23.562060628265066,-46.727192339050816
13,3,13,3,341,339,203.695279,-23.57912904307653,-46.7205909696434,-23.562060628265066,-46.727192339050816
13,8,13,8,22,49,106.819488,-23.567513682499246,-46.63514344986554,-23.578838827767267,-46.634369972314616
13,6,13,8,62,49,26.884477,-23.584504787517663,-46.656159698434905,-23.578838827767267,-46.634369972314616
13,6,13,8,78,49,104.030268,-23.563904292619352,-46.6664477143691,-23.578838827767267,-46.634369972314616
12,9,13,8,238,49,71.885533,-23.60248253287505,-46.609205944791434,-23.578838827767267,-46.634369972314616
13,7,13,6,23,76,111.355168,-23.567303113883572,-46.63877655254387,-23.57287771789081,-46.66776463307538
13,6,13,6,32,76,20.904776,-23.55447597420116,-46.660050109121244,-23.57287771789081,-46.66776463307538
13,6,13,6,62,76,81.450183,-23.584504787517663,-46.656159698434905,-23.57287771789081,-46.66776463307538
13,8,13,6,24,62,76.056022,-23.559711458637466,-46.63502927173764,-23.584504787517663,-46.656159698434905
14,6,13,6,34,62,55.976883,-23.544309454281386,-46.662478008873606,-23.584504787517663,-46.656159698434905
13,8,13,6,49,62,26.884477,-23.578838827767267,-46.634369972314616,-23.584504787517663,-46.656159698434905
13,7,13,6,57,62,77.991294,-23.57408129453783,-46.64726553363551,-23.584504787517663,-46.656159698434905
12,5,13,6,69,62,38.995647,-23.59200486204801,-46.67686648419709,-23.584504787517663,-46.656159698434905
13,6,13,6,75,62,245.949561,-23.570001881480227,-46.65740161882662,-23.584504787517663,-46.656159698434905
13,8,13,5,24,68,262.560346,-23.559711458637466,-46.63502927173764,-23.584942244800423,-46.68001414040712
12,7,13,5,63,68,33.278017999999996,-23.59623229962216,-46.65577609576648,-23.584942244800423,-46.68001414040712
12,6,13,5,64,68,571.5336159999999,-23.60567309813458,-46.65883680535961,-23.584942244800423,-46.68001414040712
12,5,13,5,69,68,216.47471000000002,-23.59200486204801,-46.67686648419709,-23.584942244800423,-46.68001414040712
12,5,13,5,70,68,129.967758,-23.600205694177212,-46.67873558379944,-23.584942244800423,-46.68001414040712
11,5,13,5,72,68,159.80182,-23.619401410613907,-46.691971149226745,-23.584942244800423,-46.68001414040712
13,7,13,5,74,68,142.229365,-23.566412425052352,-46.65387162384421,-23.584942244800423,-46.68001414040712
13,6,13,5,78,68,104.030268,-23.563904292619352,-46.6664477143691,-23.584942244800423,-46.68001414040712
13,5,13,5,80,68,325.682014,-23.56344238628397,-46.6851348752902,-23.584942244800423,-46.68001414040712
13,5,13,5,81,68,354.552704,-23.575471123022037,-46.68411227710715,-23.584942244800423,-46.68001414040712
13,4,13,5,82,68,129.967758,-23.56712486114036,-46.69634169814336,-23.584942244800423,-46.68001414040712
13,5,13,5,83,68,276.389721,-23.554016374114113,-46.68856496706087,-23.584942244800423,-46.68001414040712
11,4,13,5,300,68,590.045444,-23.634426293117752,-46.70639177473286,-23.584942244800423,-46.68001414040712
13,3,13,5,339,68,176.151615,-23.562060628265066,-46.727192339050816,-23.584942244800423,-46.68001414040712
13,7,12,5,25,73,285.151614,-23.555086560607986,-46.64793314751026,-23.601182909567786,-46.69191257233786
12,8,12,5,53,73,292.2454160000001,-23.59592327197161,-46.63004979838846,-23.601182909567786,-46.69191257233786
12,6,12,5,65,73,262.595149,-23.599681108655034,-46.66825199590866,-23.601182909567786,-46.69191257233786
12,6,12,5,67,73,79.622434,-23.588964978025928,-46.66761343293476,-23.601182909567786,-46.69191257233786
12,5,12,5,69,73,347.24658600000004,-23.59200486204801,-46.67686648419709,-23.601182909567786,-46.69191257233786
13,7,12,5,74,73,56.461638,-23.566412425052352,-46.65387162384421,-23.601182909567786,-46.69191257233786
13,4,12,5,82,73,90.595228,-23.56712486114036,-46.69634169814336,-23.601182909567786,-46.69191257233786
14,5,12,5,87,73,48.563755,-23.544253588094644,-46.68385889373289,-23.601182909567786,-46.69191257233786
11,5,12,5,268,73,52.941385,-23.63035835379099,-46.67768233205555,-23.601182909567786,-46.69191257233786
11,3,12,5,321,73,160.867774,-23.63258333451283,-46.72812070790223,-23.601182909567786,-46.69191257233786
11,2,12,5,322,73,576.096942,-23.62609223678386,-46.74003288467454,-23.601182909567786,-46.69191257233786
13,7,13,8,26,22,93.612326,-23.55820919385787,-46.64192461901244,-23.567513682499246,-46.63514344986554
13,8,13,8,49,22,106.819488,-23.578838827767267,-46.634369972314616,-23.567513682499246,-46.63514344986554
13,7,14,8,27,1,86.43248100000002,-23.565480303659893,-46.64440855782503,-23.54877270632105,-46.633666806085785
12,9,14,8,236,1,59.478471,-23.587778679467128,-46.60244929871438,-23.54877270632105,-46.633666806085785
13,7,13,7,27,57,256.262226,-23.565480303659893,-46.64440855782503,-23.57408129453783,-46.64726553363551
14,7,13,7,37,57,225.43754,-23.52372436888297,-46.65416695241702,-23.57408129453783,-46.64726553363551
13,6,13,7,62,57,77.991294,-23.584504787517663,-46.656159698434905,-23.57408129453783,-46.64726553363551
13,7,13,7,74,57,284.45873,-23.566412425052352,-46.65387162384421,-23.57408129453783,-46.64726553363551
14,6,13,7,84,57,73.654436,-23.536108068906398,-46.67116057783003,-23.57408129453783,-46.64726553363551
13,7,12,8,28,51,125.88945,-23.56286577861535,-46.650203911501954,-23.589999513422732,-46.62553481840155
13,7,13,6,28,79,32.721625,-23.56286577861535,-46.650203911501954,-23.56021185850087,-46.66145170680025
13,7,13,6,29,79,74.747712,-23.55827919897125,-46.653837231488744,-23.56021185850087,-46.66145170680025
12,7,13,6,61,79,298.2383,-23.605366796560922,-46.64281357487962,-23.56021185850087,-46.66145170680025
13,7,13,6,74,79,59.19965,-23.566412425052352,-46.65387162384421,-23.56021185850087,-46.66145170680025
14,5,13,6,88,79,32.721625,-23.535200080224826,-46.680679861356325,-23.56021185850087,-46.66145170680025
11,4,13,6,300,79,59.19965,-23.634426293117752,-46.70639177473286,-23.56021185850087,-46.66145170680025
13,7,14,5,29,87,48.563755,-23.55827919897125,-46.653837231488744,-23.544253588094644,-46.68385889373289
14,6,14,5,36,87,48.563755,-23.53295448027482,-46.65642119966119,-23.544253588094644,-46.68385889373289
13,5,14,5,77,87,206.24354,-23.557273436225838,-46.67506569956685,-23.544253588094644,-46.68385889373289
13,5,14,5,80,87,145.680073,-23.56344238628397,-46.6851348752902,-23.544253588094644,-46.68385889373289
13,4,14,5,82,87,48.563755,-23.56712486114036,-46.69634169814336,-23.544253588094644,-46.68385889373289
13,5,14,5,83,87,100.238106,-23.554016374114113,-46.68856496706087,-23.544253588094644,-46.68385889373289
15,7,14,5,132,87,48.563755,-23.511609022783826,-46.63838494862088,-23.544253588094644,-46.68385889373289
13,7,11,4,29,300,147.563342,-23.55827919897125,-46.653837231488744,-23.634426293117752,-46.70639177473286
13,5,11,4,68,300,176.151615,-23.584942244800423,-46.68001414040712,-23.634426293117752,-46.70639177473286
12,5,11,4,69,300,50.362924,-23.59200486204801,-46.67686648419709,-23.634426293117752,-46.70639177473286
12,5,11,4,70,300,121.243974,-23.600205694177212,-46.67873558379944,-23.634426293117752,-46.70639177473286
11,5,11,4,72,300,255.599233,-23.619401410613907,-46.691971149226745,-23.634426293117752,-46.70639177473286
13,6,11,4,78,300,413.893829,-23.563904292619352,-46.6664477143691,-23.634426293117752,-46.70639177473286
13,6,11,4,79,300,59.19965,-23.56021185850087,-46.66145170680025,-23.634426293117752,-46.70639177473286
13,4,11,4,82,300,39.621531,-23.56712486114036,-46.69634169814336,-23.634426293117752,-46.70639177473286
11,5,11,4,268,300,224.546466,-23.63035835379099,-46.67768233205555,-23.634426293117752,-46.70639177473286
14,6,11,5,30,72,93.488666,-23.54525797281215,-46.656141582777,-23.619401410613907,-46.691971149226745
13,7,11,5,56,72,255.599233,-23.582238741014162,-46.64330340927866,-23.619401410613907,-46.691971149226745
12,7,11,5,63,72,16.639008999999998,-23.59623229962216,-46.65577609576648,-23.619401410613907,-46.691971149226745
13,5,11,5,68,72,159.80182,-23.584942244800423,-46.68001414040712,-23.619401410613907,-46.691971149226745
12,5,11,5,71,72,257.340328,-23.608998167214626,-46.684815784763686,-23.619401410613907,-46.691971149226745
13,6,11,5,78,72,128.670164,-23.563904292619352,-46.6664477143691,-23.619401410613907,-46.691971149226745
11,4,11,5,300,72,255.599233,-23.634426293117752,-46.70639177473286,-23.619401410613907,-46.691971149226745
14,6,15,5,30,139,380.501735,-23.54525797281215,-46.656141582777,-23.49340443157553,-46.680177012182
15,7,15,5,137,139,150.49383899999995,-23.494762956567005,-46.6545867655588,-23.49340443157553,-46.680177012182
14,7,13,6,31,32,99.063523,-23.54863576617937,-46.65155514406312,-23.55447597420116,-46.660050109121244
14,6,13,6,33,32,31.030915000000004,-23.55060971121055,-46.66847398408605,-23.55447597420116,-46.660050109121244
12,5,13,6,70,32,21.471303,-23.600205694177212,-46.67873558379944,-23.55447597420116,-46.660050109121244
14,5,13,6,87,32,48.563755,-23.544253588094644,-46.68385889373289,-23.55447597420116,-46.660050109121244
12,4,13,6,316,32,165.004071,-23.588842597440213,-46.71269251064216,-23.55447597420116,-46.660050109121244
12,3,13,6,319,32,20.904776,-23.604702342238852,-46.71794658217736,-23.55447597420116,-46.660050109121244
14,7,14,6,31,33,22.343047,-23.54863576617937,-46.65155514406312,-23.55060971121055,-46.66847398408605
15,8,14,6,128,33,31.030915000000004,-23.50729513185685,-46.625752299943116,-23.55060971121055,-46.66847398408605
14,7,12,5,31,69,186.002523,-23.54863576617937,-46.65155514406312,-23.59200486204801,-46.67686648419709
