i,j,geometry
8,15,"POLYGON ((-46.48480000000001 -23.7489, -46.48480000000001 -23.7164, -46.50380000000001 -23.7164, -46.50380000000001 -23.7489, -46.48480000000001 -23.7489))"
8,16,"POLYGON ((-46.46580000000001 -23.7489, -46.46580000000001 -23.7164, -46.48480000000001 -23.7164, -46.48480000000001 -23.7489, -46.46580000000001 -23.7489))"
8,17,"POLYGON ((-46.4468 -23.7489, -46.4468 -23.7164, -46.46580000000001 -23.7164, -46.46580000000001 -23.7489, -46.4468 -23.7489))"
8,18,"POLYGON ((-46.4278 -23.7489, -46.4278 -23.7164, -46.4468 -23.7164, -46.4468 -23.7489, -46.4278 -23.7489))"
8,19,"POLYGON ((-46.40880000000001 -23.7489, -46.40880000000001 -23.7164, -46.4278 -23.7164, -46.4278 -23.7489, -46.40880000000001 -23.7489))"
9,0,"POLYGON ((-46.7698 -23.7164, -46.7698 -23.6839, -46.7888 -23.6839, -46.7888 -23.7164, -46.7698 -23.7164))"
9,1,"POLYGON ((-46.75080000000001 -23.7164, -46.75080000000001 -23.6839, -46.7698 -23.6839, -46.7698 -23.7164, -46.75080000000001 -23.7164))"
9,2,"POLYGON ((-46.7318 -23.7164, -46.7318 -23.6839, -46.75080000000001 -23.6839, -46.75080000000001 -23.7164, -46.7318 -23.7164))"
9,3,"POLYGON ((-46.7128 -23.7164, -46.7128 -23.6839, -46.7318 -23.6839, -46.7318 -23.7164, -46.7128 -23.7164))"
9,4,"POLYGON ((-46.6938 -23.7164, -46.6938 -23.6839, -46.7128 -23.6839, -46.7128 -23.7164, -46.6938 -23.7164))"
9,5,"POLYGON ((-46.6748 -23.7164, -46.6748 -23.6839, -46.6938 -23.6839, -46.6938 -23.7164, -46.6748 -23.7164))"
9,6,"POLYGON ((-46.65580000000001 -23.7164, -46.65580000000001 -23.6839, -46.6748 -23.6839, -46.6748 -23.7164, -46.65580000000001 -23.7164))"
9,7,"POLYGON ((-46.6368 -23.7164, -46.6368 -23.6839, -46.65580000000001 -23.6839, -46.65580000000001 -23.7164, -46.6368 -23.7164))"
9,8,"POLYGON ((-46.6178 -23.7164, -46.6178 -23.6839, -46.6368 -23.6839, -46.6368 -23.7164, -46.6178 -23.7164))"
9,9,"POLYGON ((-46.5988 -23.7164, -46.5988 -23.6839, -46.6178 -23.6839, -46.6178 -23.7164, -46.5988 -23.7164))"
9,10,"POLYGON ((-46.57980000000001 -23.7164, -46.57980000000001 -23.6839, -46.5988 -23.6839, -46.5988 -23.7164, -46.57980000000001 -23.7164))"
9,11,"POLYGON ((-46.56080000000001 -23.7164, -46.56080000000001 -23.6839, -46.57980000000001 -23.6839, -46.57980000000001 -23.7164, -46.56080000000001 -23.7164))"
9,12,"POLYGON ((-46.5418 -23.7164, -46.5418 -23.6839, -46.56080000000001 -23.6839, -46.56080000000001 -23.7164, -46.5418 -23.7164))"
9,13,"POLYGON ((-46.5228 -23.7164, -46.5228 -23.6839, -46.5418 -23.6839, -46.5418 -23.7164, -46.5228 -23.7164))"
9,14,"POLYGON ((-46.50380000000001 -23.7164, -46.50380000000001 -23.6839, -46.5228 -23.6839, -46.5228 -23.7164, -46.50380000000001 -23.7164))"
9,15,"POLYGON ((-46.48480000000001 -23.7164, -46.48480000000001 -23.6839, -46.50380000000001 -23.6839, -46.50380000000001 -23.7164, -46.48480000000001 -23.7164))"
9,16,"POLYGON ((-46.46580000000001 -23.7164, -46.46580000000001 -23.6839, -46.48480000000001 -23.6839, -46.48480000000001 -23.7164, -46.46580000000001 -23.7164))"
9,17,"POLYGON ((-46.4468 -23.7164, -46.4468 -23.6839, -46.46580000000001 -23.6839, -46.46580000000001 -23.7164, -46.4468 -23.7164))"
9,18,"POLYGON ((-46.4278 -23.7164, -46.4278 -23.6839, -46.4468 -23.6839, -46.4468 -23.7164, -46.4278 -23.7164))"
9,19,"POLYGON ((-46.40880000000001 -23.7164, -46.40880000000001 -23.6839, -46.4278 -23.6839, -46.4278 -23.7164, -46.40880000000001 -23.7164))"
10,0,"POLYGON ((-46.7698 -23.6839, -46.7698 -23.6514, -46.7888 -23.6514, -46.7888 -23.6839, -46.7698 -23.6839))"
10,1,"POLYGON ((-46.75080000000001 -23.6839, -46.75080000000001 -23.6514, -46.7698 -23.6514, -46.7698 -23.6839, -46.75080000000001 -23.6839))"
10,2,"POLYGON ((-46.7318 -23.6839, -46.7318 -23.6514, -46.75080000000001 -23.6514, -46.75080000000001 -23.6839, -46.7318 -23.6839))"
10,3,"POLYGON ((-46.7128 -23.6839, -46.7128 -23.6514, -46.7318 -23.6514, -46.7318 -23.6839, -46.7128 -23.6839))"
10,4,"POLYGON ((-46.6938 -23.6839, -46.6938 -23.6514, -46.7128 -23.6514, -46.7128 -23.6839, -46.6938 -23.6839))"
10,5,"POLYGON ((-46.6748 -23.6839, -46.6748 -23.6514, -46.6938 -23.6514, -46.6938 -23.6839, -46.6748 -23.6839))"
10,6,"POLYGON ((-46.65580000000001 -23.6839, -46.65580000000001 -23.6514, -46.6748 -23.6514, -46.6748 -23.6839, -46.65580000000001 -23.6839))"
10,7,"POLYGON ((-46.6368 -23.6839, -46.6368 -23.6514, -46.65580000000001 -23.6514, -46.65580000000001 -23.6839, -46.6368 -23.6839))"
10,8,"POLYGON ((-46.6178 -23.6839, -46.6178 -23.6514, -46.6368 -23.6514, -46.6368 -23.6839, -46.6178 -23.6839))"
10,9,"POLYGON ((-46.5988 -23.6839, -46.5988 -23.6514, -46.6178 -23.6514, -46.6178 -23.6839, -46.5988 -23.6839))"
10,10,"POLYGON ((-46.57980000000001 -23.6839, -46.57980000000001 -23.6514, -46.5988 -23.6514, -46.5988 -23.6839, -46.57980000000001 -23.6839))"
10,11,"POLYGON ((-46.56080000000001 -23.6839, -46.56080000000001 -23.6514, -46.57980000000001 -23.6514, -46.57980000000001 -23.6839, -46.56080000000001 -23.6839))"
10,12,"POLYGON ((-46.5418 -23.6839, -46.5418 -23.6514, -46.56080000000001 -23.6514, -46.56080000000001 -23.6839, -46.5418 -23.6839))"
10,13,"POLYGON ((-46.5228 -23.6839, -46.5228 -23.6514, -46.5418 -23.6514, -46.5418 -23.6839, -46.5228 -23.6839))"
10,14,"POLYGON ((-46.50380000000001 -23.6839, -46.50380000000001 -23.6514, -46.5228 -23.6514, -46.5228 -23.6839, -46.50380000000001 -23.6839))"
10,15,"POLYGON ((-46.48480000000001 -23.6839, -46.48480000000001 -23.6514, -46.50380000000001 -23.6514, -46.50380000000001 -23.6839, -46.48480000000001 -23.6839))"
10,16,"POLYGON ((-46.46580000000001 -23.6839, -46.46580000000001 -23.6514, -46.48480000000001 -23.6514, -46.48480000000001 -23.6839, -46.46580000000001 -23.6839))"
10,17,"POLYGON ((-46.4468 -23.6839, -46.4468 -23.6514, -46.46580000000001 -23.6514, -46.46580000000001 -23.6839, -46.4468 -23.6839))"
10,18,"POLYGON ((-46.4278 -23.6839, -46.4278 -23.6514, -46.4468 -23.6514, -46.4468 -23.6839, -46.4278 -23.6839))"
10,19,"POLYGON ((-46.40880000000001 -23.6839, -46.40880000000001 -23.6514, -46.4278 -23.6514, -46.4278 -23.6839, -46.40880000000001 -23.6839))"
11,0,"POLYGON ((-46.7698 -23.6514, -46.7698 -23.6189, -46.7888 -23.6189, -46.7888 -23.6514, -46.7698 -23.6514))"
11,1,"POLYGON ((-46.75080000000001 -23.6514, -46.75080000000001 -23.6189, -46.7698 -23.6189, -46.7698 -23.6514, -46.75080000000001 -23.6514))"
11,2,"POLYGON ((-46.7318 -23.6514, -46.7318 -23.6189, -46.75080000000001 -23.6189, -46.75080000000001 -23.6514, -46.7318 -23.6514))"
11,3,"POLYGON ((-46.7128 -23.6514, -46.7128 -23.6189, -46.7318 -23.6189, -46.7318 -23.6514, -46.7128 -23.6514))"
11,4,"POLYGON ((-46.6938 -23.6514, -46.6938 -23.6189, -46.7128 -23.6189, -46.7128 -23.6514, -46.6938 -23.6514))"
11,5,"POLYGON ((-46.6748 -23.6514, -46.6748 -23.6189, -46.6938 -23.6189, -46.6938 -23.6514, -46.6748 -23.6514))"
11,6,"POLYGON ((-46.65580000000001 -23.6514, -46.65580000000001 -23.6189, -46.6748 -23.6189, -46.6748 -23.6514, -46.65580000000001 -23.6514))"
11,7,"POLYGON ((-46.6368 -23.6514, -46.6368 -23.6189, -46.65580000000001 -23.6189, -46.65580000000001 -23.6514, -46.6368 -23.6514))"
11,8,"POLYGON ((-46.6178 -23.6514, -46.6178 -23.6189, -46.6368 -23.6189, -46.6368 -23.6514, -46.6178 -23.6514))"
11,9,"POLYGON ((-46.5988 -23.6514, -46.5988 -23.6189, -46.6178 -23.6189, -46.6178 -23.6514, -46.5988 -23.6514))"
11,10,"POLYGON ((-46.57980000000001 -23.6514, -46.57980000000001 -23.6189, -46.5988 -23.6189, -46.5988 -23.6514, -46.57980000000001 -23.6514))"
11,11,"POLYGON ((-46.56080000000001 -23.6514, -46.56080000000001 -23.6189, -46.57980000000001 -23.6189, -46.57980000000001 -23.6514, -46.56080000000001 -23.6514))"
11,12,"POLYGON ((-46.5418 -23.6514, -46.5418 -23.6189, -46.56080000000001 -23.6189, -46.56080000000001 -23.6514, -46.5418 -23.6514))"
11,13,"POLYGON ((-46.5228 -23.6514, -46.5228 -23.6189, -46.5418 -23.6189, -46.5418 -23.6514, -46.5228 -23.6514))"
11,14,"POLYGON ((-46.50380000000001 -23.6514, -46.50380000000001 -23.6189, -46.5228 -23.6189, -46.5228 -23.6514, -46.50380000000001 -23.6514))"
11,15,"POLYGON ((-46.48480000000001 -23.6514, -46.48480000000001 -23.6189, -46.50380000000001 -23.6189, -46.50380000000001 -23.6514, -46.48480000000001 -23.6514))"
11,16,"POLYGON ((-46.46580000000001 -23.6514, -46.46580000000001 -23.6189, -46.48480000000001 -23.6189, -46.48480000000001 -23.6514, -46.46580000000001 -23.6514))"
11,17,"POLYGON ((-46.4468 -23.6514, -46.4468 -23.6189, -46.46580000000001 -23.6189, -46.46580000000001 -23.6514, -46.4468 -23.6514))"
11,18,"POLYGON ((-46.4278 -23.6514, -46.4278 -23.6189, -46.4468 -23.6189, -46.4468 -23.6514, -46.4278 -23.6514))"
11,19,"POLYGON ((-46.40880000000001 -23.6514, -46.40880000000001 -23.6189, -46.4278 -23.6189, -46.4278 -23.6514, -46.40880000000001 -23.6514))"
12,0,"POLYGON ((-46.7698 -23.6189, -46.7698 -23.5864, -46.7888 -23.5864, -46.7888 -23.6189, -46.7698 -23.6189))"
12,1,"POLYGON ((-46.75080000000001 -23.6189, -46.75080000000001 -23.5864, -46.7698 -23.5864, -46.7698 -23.6189, -46.75080000000001 -23.6189))"
12,2,"POLYGON ((-46.7318 -23.6189, -46.7318 -23.5864, -46.75080000000001 -23.5864, -46.75080000000001 -23.6189, -46.7318 -23.6189))"
12,3,"POLYGON ((-46.7128 -23.6189, -46.7128 -23.5864, -46.7318 -23.5864, -46.7318 -23.6189, -46.7128 -23.6189))"
12,4,"POLYGON ((-46.6938 -23.6189, -46.6938 -23.5864, -46.7128 -23.5864, -46.7128 -23.6189, -46.6938 -23.6189))"
12,5,"POLYGON ((-46.6748 -23.6189, -46.6748 -23.5864, -46.6938 -23.5864, -46.6938 -23.6189, -46.6748 -23.6189))"
12,6,"POLYGON ((-46.65580000000001 -23.6189, -46.65580000000001 -23.5864, -46.6748 -23.5864, -46.6748 -23.6189, -46.65580000000001 -23.6189))"
12,7,"POLYGON ((-46.6368 -23.6189, -46.6368 -23.5864, -46.65580000000001 -23.5864, -46.65580000000001 -23.6189, -46.6368 -23.6189))"
12,8,"POLYGON ((-46.6178 -23.6189, -46.6178 -23.5864, -46.6368 -23.5864, -46.6368 -23.6189, -46.6178 -23.6189))"
12,9,"POLYGON ((-46.5988 -23.6189, -46.5988 -23.5864, -46.6178 -23.5864, -46.6178 -23.6189, -46.5988 -23.6189))"
12,10,"POLYGON ((-46.57980000000001 -23.6189, -46.57980000000001 -23.5864, -46.5988 -23.5864, -46.5988 -23.6189, -46.57980000000001 -23.6189))"
12,11,"POLYGON ((-46.56080000000001 -23.6189, -46.56080000000001 -23.5864, -46.57980000000001 -23.5864, -46.57980000000001 -23.6189, -46.56080000000001 -23.6189))"
12,12,"POLYGON ((-46.5418 -23.6189, -46.5418 -23.5864, -46.56080000000001 -23.5864, -46.56080000000001 -23.6189, -46.5418 -23.6189))"
12,13,"POLYGON ((-46.5228 -23.6189, -46.5228 -23.5864, -46.5418 -23.5864, -46.5418 -23.6189, -46.5228 -23.6189))"
12,14,"POLYGON ((-46.50380000000001 -23.6189, -46.50380000000001 -23.5864, -46.5228 -23.5864, -46.5228 -23.6189, -46.50380000000001 -23.6189))"
12,15,"POLYGON ((-46.48480000000001 -23.6189, -46.48480000000001 -23.5864, -46.50380000000001 -23.5864, -46.50380000000001 -23.6189, -46.48480000000001 -23.6189))"
12,16,"POLYGON ((-46.46580000000001 -23.6189, -46.46580000000001 -23.5864, -46.48480000000001 -23.5864, -46.48480000000001 -23.6189, -46.46580000000001 -23.6189))"
12,17,"POLYGON ((-46.4468 -23.6189, -46.4468 -23.5864, -46.46580000000001 -23.5864, -46.46580000000001 -23.6189, -46.4468 -23.6189))"
12,18,"POLYGON ((-46.4278 -23.6189, -46.4278 -23.5864, -46.4468 -23.5864, -46.4468 -23.6189, -46.4278 -23.6189))"
12,19,"POLYGON ((-46.40880000000001 -23.6189, -46.40880000000001 -23.5864, -46.4278 -23.5864, -46.4278 -23.6189, -46.40880000000001 -23.6189))"
13,0,"POLYGON ((-46.7698 -23.5864, -46.7698 -23.5539, -46.7888 -23.5539, -46.7888 -23.5864, -46.7698 -23.5864))"
13,1,"POLYGON ((-46.75080000000001 -23.5864, -46.75080000000001 -23.5539, -46.7698 -23.5539, -46.7698 -23.5864, -46.75080000000001 -23.5864))"
13,2,"POLYGON ((-46.7318 -23.5864, -46.7318 -23.5539, -46.75080000000001 -23.5539, -46.75080000000001 -23.5864, -46.7318 -23.5864))"
13,3,"POLYGON ((-46.7128 -23.5864, -46.7128 -23.5539, -46.7318 -23.5539, -46.7318 -23.5864, -46.7128 -23.5864))"
13,4,"POLYGON ((-46.6938 -23.5864, -46.6938 -23.5539, -46.7128 -23.5539, -46.7128 -23.5864, -46.6938 -23.5864))"
13,5,"POLYGON ((-46.6748 -23.5864, -46.6748 -23.5539, -46.6938 -23.5539, -46.6938 -23.5864, -46.6748 -23.5864))"
13,6,"POLYGON ((-46.65580000000001 -23.5864, -46.65580000000001 -23.5539, -46.6748 -23.5539, -46.6748 -23.5864, -46.65580000000001 -23.5864))"
13,7,"POLYGON ((-46.6368 -23.5864, -46.6368 -23.5539, -46.65580000000001 -23.5539, -46.65580000000001 -23.5864, -46.6368 -23.5864))"
13,8,"POLYGON ((-46.6178 -23.5864, -46.6178 -23.5539, -46.6368 -23.5539, -46.6368 -23.5864, -46.6178 -23.5864))"
13,9,"POLYGON ((-46.5988 -23.5864, -46.5988 -23.5539, -46.6178 -23.5539, -46.6178 -23.5864, -46.5988 -23.5864))"
13,10,"POLYGON ((-46.57980000000001 -23.5864, -46.57980000000001 -23.5539, -46.5988 -23.5539, -46.5988 -23.5864, -46.57980000000001 -23.5864))"
13,11,"POLYGON ((-46.56080000000001 -23.5864, -46.56080000000001 -23.5539, -46.57980000000001 -23.5539, -46.57980000000001 -23.5864, -46.56080000000001 -23.5864))"
13,12,"POLYGON ((-46.5418 -23.5864, -46.5418 -23.5539, -46.56080000000001 -23.5539, -46.56080000000001 -23.5864, -46.5418 -23.5864))"
13,13,"POLYGON ((-46.5228 -23.5864, -46.5228 -23.5539, -46.5418 -23.5539, -46.5418 -23.5864, -46.5228 -23.5864))"
13,14,"POLYGON ((-46.50380000000001 -23.5864, -46.50380000000001 -23.5539, -46.5228 -23.5539, -46.5228 -23.5864, -46.50380000000001 -23.5864))"
13,15,"POLYGON ((-46.48480000000001 -23.5864, -46.48480000000001 -23.5539, -46.50380000000001 -23.5539, -46.50380000000001 -23.5864, -46.48480000000001 -23.5864))"
13,16,"POLYGON ((-46.46580000000001 -23.5864, -46.46580000000001 -23.5539, -46.48480000000001 -23.5539, -46.48480000000001 -23.5864, -46.46580000000001 -23.5864))"
13,17,"POLYGON ((-46.4468 -23.5864, -46.4468 -23.5539, -46.46580000000001 -23.5539, -46.46580000000001 -23.5864, -46.4468 -23.5864))"
13,18,"POLYGON ((-46.4278 -23.5864, -46.4278 -23.5539, -46.4468 -23.5539, -46.4468 -23.5864, -46.4278 -23.5864))"
13,19,"POLYGON ((-46.40880000000001 -23.5864, -46.40880000000001 -23.5539, -46.4278 -23.5539, -46.4278 -23.5864, -46.40880000000001 -23.5864))"
14,0,"POLYGON ((-46.7698 -23.5539, -46.7698 -23.5214, -46.7888 -23.5214, -46.7888 -23.5539, -46.7698 -23.5539))"
14,1,"POLYGON ((-46.75080000000001 -23.5539, -46.75080000000001 -23.5214, -46.7698 -23.5214, -46.7698 -23.5539, -46.75080000000001 -23.5539))"
14,2,"POLYGON ((-46.7318 -23.5539, -46.7318 -23.5214, -46.75080000000001 -23.5214, -46.75080000000001 -23.5539, -46.7318 -23.5539))"
14,3,"POLYGON ((-46.7128 -23.5539, -46.7128 -23.5214, -46.7318 -23.5214, -46.7318 -23.5539, -46.7128 -23.5539))"
14,4,"POLYGON ((-46.6938 -23.5539, -46.6938 -23.5214, -46.7128 -23.5214, -46.7128 -23.5539, -46.6938 -23.5539))"
14,5,"POLYGON ((-46.6748 -23.5539, -46.6748 -23.5214, -46.6938 -23.5214, -46.6938 -23.5539, -46.6748 -23.5539))"
14,6,"POLYGON ((-46.65580000000001 -23.5539, -46.65580000000001 -23.5214, -46.6748 -23.5214, -46.6748 -23.5539, -46.65580000000001 -23.5539))"
14,7,"POLYGON ((-46.6368 -23.5539, -46.6368 -23.5214, -46.65580000000001 -23.5214, -46.65580000000001 -23.5539, -46.6368 -23.5539))"
14,8,"POLYGON ((-46.6178 -23.5539, -46.6178 -23.5214, -46.6368 -23.5214, -46.6368 -23.5539, -46.6178 -23.5539))"
14,9,"POLYGON ((-46.5988 -23.5539, -46.5988 -23.5214, -46.6178 -23.5214, -46.6178 -23.5539, -46.5988 -23.5539))"
14,10,"POLYGON ((-46.57980000000001 -23.5539, -46.57980000000001 -23.5214, -46.5988 -23.5214, -46.5988 -23.5539, -46.57980000000001 -23.5539))"
14,11,"POLYGON ((-46.56080000000001 -23.5539, -46.56080000000001 -23.5214, -46.57980000000001 -23.5214, -46.57980000000001 -23.5539, -46.56080000000001 -23.5539))"
14,12,"POLYGON ((-46.5418 -23.5539, -46.5418 -23.5214, -46.56080000000001 -23.5214, -46.56080000000001 -23.5539, -46.5418 -23.5539))"
14,13,"POLYGON ((-46.5228 -23.5539, -46.5228 -23.5214, -46.5418 -23.5214, -46.5418 -23.5539, -46.5228 -23.5539))"
14,14,"POLYGON ((-46.50380000000001 -23.5539, -46.50380000000001 -23.5214, -46.5228 -23.5214, -46.5228 -23.5539, -46.50380000000001 -23.5539))"
14,15,"POLYGON ((-46.48480000000001 -23.5539, -46.48480000000001 -23.5214, -46.50380000000001 -23.5214, -46.50380000000001 -23.5539, -46.48480000000001 -23.5539))"
14,16,"POLYGON ((-46.46580000000001 -23.5539, -46.46580000000001 -23.5214, -46.48480000000001 -23.5214, -46.48480000000001 -23.5539, -46.46580000000001 -23.5539))"
14,17,"POLYGON ((-46.4468 -23.5539, -46.4468 -23.5214, -46.46580000000001 -23.5214, -46.46580000000001 -23.5539, -46.4468 -23.5539))"
14,18,"POLYGON ((-46.4278 -23.5539, -46.4278 -23.5214, -46.4468 -23.5214, -46.4468 -23.5539, -46.4278 -23.5539))"
14,19,"POLYGON ((-46.40880000000001 -23.5539, -46.40880000000001 -23.5214, -46.4278 -23.5214, -46.4278 -23.5539, -46.40880000000001 -23.5539))"
15,0,"POLYGON ((-46.7698 -23.5214, -46.7698 -23.4889, -46.7888 -23.4889, -46.7888 -23.5214, -46.7698 -23.5214))"
15,1,"POLYGON ((-46.75080000000001 -23.5214, -46.75080000000001 -23.4889, -46.7698 -23.4889, -46.7698 -23.5214, -46.75080000000001 -23.5214))"
15,2,"POLYGON ((-46.7318 -23.5214, -46.7318 -23.4889, -46.75080000000001 -23.4889, -46.75080000000001 -23.5214, -46.7318 -23.5214))"
15,3,"POLYGON ((-46.7128 -23.5214, -46.7128 -23.4889, -46.7318 -23.4889, -46.7318 -23.5214, -46.7128 -23.5214))"
15,4,"POLYGON ((-46.6938 -23.5214, -46.6938 -23.4889, -46.7128 -23.4889, -46.7128 -23.5214, -46.6938 -23.5214))"
15,5,"POLYGON ((-46.6748 -23.5214, -46.6748 -23.4889, -46.6938 -23.4889, -46.6938 -23.5214, -46.6748 -23.5214))"
15,6,"POLYGON ((-46.65580000000001 -23.5214, -46.65580000000001 -23.4889, -46.6748 -23.4889, -46.6748 -23.5214, -46.65580000000001 -23.5214))"
15,7,"POLYGON ((-46.6368 -23.5214, -46.6368 -23.4889, -46.65580000000001 -23.4889, -46.65580000000001 -23.5214, -46.6368 -23.5214))"
15,8,"POLYGON ((-46.6178 -23.5214, -46.6178 -23.4889, -46.6368 -23.4889, -46.6368 -23.5214, -46.6178 -23.5214))"
15,9,"POLYGON ((-46.5988 -23.5214, -46.5988 -23.4889, -46.6178 -23.4889, -46.6178 -23.5214, -46.5988 -23.5214))"
15,10,"POLYGON ((-46.57980000000001 -23.5214, -46.57980000000001 -23.4889, -46.5988 -23.4889, -46.5988 -23.5214, -46.57980000000001 -23.5214))"
15,11,"POLYGON ((-46.56080000000001 -23.5214, -46.56080000000001 -23.4889, -46.57980000000001 -23.4889, -46.57980000000001 -23.5214, -46.56080000000001 -23.5214))"
15,12,"POLYGON ((-46.5418 -23.5214, -46.5418 -23.4889, -46.56080000000001 -23.4889, -46.56080000000001 -23.5214, -46.5418 -23.5214))"
15,13,"POLYGON ((-46.5228 -23.5214, -46.5228 -23.4889, -46.5418 -23.4889, -46.5418 -23.5214, -46.5228 -23.5214))"
15,14,"POLYGON ((-46.50380000000001 -23.5214, -46.50380000000001 -23.4889, -46.5228 -23.4889, -46.5228 -23.5214, -46.50380000000001 -23.5214))"
15,15,"POLYGON ((-46.48480000000001 -23.5214, -46.48480000000001 -23.4889, -46.50380000000001 -23.4889, -46.50380000000001 -23.5214, -46.48480000000001 -23.5214))"
15,16,"POLYGON ((-46.46580000000001 -23.5214, -46.46580000000001 -23.4889, -46.48480000000001 -23.4889, -46.48480000000001 -23.5214, -46.46580000000001 -23.5214))"
15,17,"POLYGON ((-46.4468 -23.5214, -46.4468 -23.4889, -46.46580000000001 -23.4889, -46.46580000000001 -23.5214, -46.4468 -23.5214))"
15,18,"POLYGON ((-46.4278 -23.5214, -46.4278 -23.4889, -46.4468 -23.4889, -46.4468 -23.5214, -46.4278 -23.5214))"
15,19,"POLYGON ((-46.40880000000001 -23.5214, -46.40880000000001 -23.4889, -46.4278 -23.4889, -46.4278 -23.5214, -46.40880000000001 -23.5214))"
16,0,"POLYGON ((-46.7698 -23.4889, -46.7698 -23.4564, -46.7888 -23.4564, -46.7888 -23.4889, -46.7698 -23.4889))"
16,1,"POLYGON ((-46.75080000000001 -23.4889, -46.75080000000001 -23.4564, -46.7698 -23.4564, -46.7698 -23.4889, -46.75080000000001 -23.4889))"
16,2,"POLYGON ((-46.7318 -23.4889, -46.7318 -23.4564, -46.75080000000001 -23.4564, -46.75080000000001 -23.4889, -46.7318 -23.4889))"
16,3,"POLYGON ((-46.7128 -23.4889, -46.7128 -23.4564, -46.7318 -23.4564, -46.7318 -23.4889, -46.7128 -23.4889))"
16,4,"POLYGON ((-46.6938 -23.4889, -46.6938 -23.4564, -46.7128 -23.4564, -46.7128 -23.4889, -46.6938 -23.4889))"
16,5,"POLYGON ((-46.6748 -23.4889, -46.6748 -23.4564, -46.6938 -23.4564, -46.6938 -23.4889, -46.6748 -23.4889))"
16,6,"POLYGON ((-46.65580000000001 -23.4889, -46.65580000000001 -23.4564, -46.6748 -23.4564, -46.6748 -23.4889, -46.65580000000001 -23.4889))"
16,7,"POLYGON ((-46.6368 -23.4889, -46.6368 -23.4564, -46.65580000000001 -23.4564, -46.65580000000001 -23.4889, -46.6368 -23.4889))"
16,8,"POLYGON ((-46.6178 -23.4889, -46.6178 -23.4564, -46.6368 -23.4564, -46.6368 -23.4889, -46.6178 -23.4889))"
16,9,"POLYGON ((-46.5988 -23.4889, -46.5988 -23.4564, -46.6178 -23.4564, -46.6178 -23.4889, -46.5988 -23.4889))"
16,10,"POLYGON ((-46.57980000000001 -23.4889, -46.57980000000001 -23.4564, -46.5988 -23.4564, -46.5988 -23.4889, -46.57980000000001 -23.4889))"
16,11,"POLYGON ((-46.56080000000001 -23.4889, -46.56080000000001 -23.4564, -46.57980000000001 -23.4564, -46.57980000000001 -23.4889, -46.56080000000001 -23.4889))"
16,12,"POLYGON ((-46.5418 -23.4889, -46.5418 -23.4564, -46.56080000000001 -23.4564, -46.56080000000001 -23.4889, -46.5418 -23.4889))"
16,13,"POLYGON ((-46.5228 -23.4889, -46.5228 -23.4564, -46.5418 -23.4564, -46.5418 -23.4889, -46.5228 -23.4889))"
16,14,"POLYGON ((-46.50380000000001 -23.4889, -46.50380000000001 -23.4564, -46.5228 -23.4564, -46.5228 -23.4889, -46.50380000000001 -23.4889))"
16,15,"POLYGON ((-46.48480000000001 -23.4889, -46.48480000000001 -23.4564, -46.50380000000001 -23.4564, -46.50380000000001 -23.4889, -46.48480000000001 -23.4889))"
16,16,"POLYGON ((-46.46580000000001 -23.4889, -46.46580000000001 -23.4564, -46.48480000000001 -23.4564, -46.48480000000001 -23.4889, -46.46580000000001 -23.4889))"
16,17,"POLYGON ((-46.4468 -23.4889, -46.4468 -23.4564, -46.46580000000001 -23.4564, -46.46580000000001 -23.4889, -46.4468 -23.4889))"
16,18,"POLYGON ((-46.4278 -23.4889, -46.4278 -23.4564, -46.4468 -23.4564, -46.4468 -23.4889, -46.4278 -23.4889))"
16,19,"POLYGON ((-46.40880000000001 -23.4889, -46.40880000000001 -23.4564, -46.4278 -23.4564, -46.4278 -23.4889, -46.40880000000001 -23.4889))"
17,0,"POLYGON ((-46.7698 -23.4564, -46.7698 -23.4239, -46.7888 -23.4239, -46.7888 -23.4564, -46.7698 -23.4564))"
17,1,"POLYGON ((-46.75080000000001 -23.4564, -46.75080000000001 -23.4239, -46.7698 -23.4239, -46.7698 -23.4564, -46.75080000000001 -23.4564))"
17,2,"POLYGON ((-46.7318 -23.4564, -46.7318 -23.4239, -46.75080000000001 -23.4239, -46.75080000000001 -23.4564, -46.7318 -23.4564))"
17,3,"POLYGON ((-46.7128 -23.4564, -46.7128 -23.4239, -46.7318 -23.4239, -46.7318 -23.4564, -46.7128 -23.4564))"
17,4,"POLYGON ((-46.6938 -23.4564, -46.6938 -23.4239, -46.7128 -23.4239, -46.7128 -23.4564, -46.6938 -23.4564))"
17,5,"POLYGON ((-46.6748 -23.4564, -46.6748 -23.4239, -46.6938 -23.4239, -46.6938 -23.4564, -46.6748 -23.4564))"
17,6,"POLYGON ((-46.65580000000001 -23.4564, -46.65580000000001 -23.4239, -46.6748 -23.4239, -46.6748 -23.4564, -46.65580000000001 -23.4564))"
17,7,"POLYGON ((-46.6368 -23.4564, -46.6368 -23.4239, -46.65580000000001 -23.4239, -46.65580000000001 -23.4564, -46.6368 -23.4564))"
17,8,"POLYGON ((-46.6178 -23.4564, -46.6178 -23.4239, -46.6368 -23.4239, -46.6368 -23.4564, -46.6178 -23.4564))"
17,9,"POLYGON ((-46.5988 -23.4564, -46.5988 -23.4239, -46.6178 -23.4239, -46.6178 -23.4564, -46.5988 -23.4564))"
