i,j,geometry
2,0,"POLYGON ((-46.7698 -23.9439, -46.7698 -23.9114, -46.7888 -23.9114, -46.7888 -23.9439, -46.7698 -23.9439))"
2,1,"POLYGON ((-46.75080000000001 -23.9439, -46.75080000000001 -23.9114, -46.7698 -23.9114, -46.7698 -23.9439, -46.75080000000001 -23.9439))"
2,2,"POLYGON ((-46.7318 -23.9439, -46.7318 -23.9114, -46.75080000000001 -23.9114, -46.75080000000001 -23.9439, -46.7318 -23.9439))"
2,3,"POLYGON ((-46.7128 -23.9439, -46.7128 -23.9114, -46.7318 -23.9114, -46.7318 -23.9439, -46.7128 -23.9439))"
2,4,"POLYGON ((-46.6938 -23.9439, -46.6938 -23.9114, -46.7128 -23.9114, -46.7128 -23.9439, -46.6938 -23.9439))"
2,5,"POLYGON ((-46.6748 -23.9439, -46.6748 -23.9114, -46.6938 -23.9114, -46.6938 -23.9439, -46.6748 -23.9439))"
2,6,"POLYGON ((-46.65580000000001 -23.9439, -46.65580000000001 -23.9114, -46.6748 -23.9114, -46.6748 -23.9439, -46.65580000000001 -23.9439))"
2,7,"POLYGON ((-46.6368 -23.9439, -46.6368 -23.9114, -46.65580000000001 -23.9114, -46.65580000000001 -23.9439, -46.6368 -23.9439))"
2,8,"POLYGON ((-46.6178 -23.9439, -46.6178 -23.9114, -46.6368 -23.9114, -46.6368 -23.9439, -46.6178 -23.9439))"
2,9,"POLYGON ((-46.5988 -23.9439, -46.5988 -23.9114, -46.6178 -23.9114, -46.6178 -23.9439, -46.5988 -23.9439))"
2,10,"POLYGON ((-46.57980000000001 -23.9439, -46.57980000000001 -23.9114, -46.5988 -23.9114, -46.5988 -23.9439, -46.57980000000001 -23.9439))"
2,11,"POLYGON ((-46.56080000000001 -23.9439, -46.56080000000001 -23.9114, -46.57980000000001 -23.9114, -46.57980000000001 -23.9439, -46.56080000000001 -23.9439))"
2,12,"POLYGON ((-46.5418 -23.9439, -46.5418 -23.9114, -46.56080000000001 -23.9114, -46.56080000000001 -23.9439, -46.5418 -23.9439))"
2,13,"POLYGON ((-46.5228 -23.9439, -46.5228 -23.9114, -46.5418 -23.9114, -46.5418 -23.9439, -46.5228 -23.9439))"
2,14,"POLYGON ((-46.50380000000001 -23.9439, -46.50380000000001 -23.9114, -46.5228 -23.9114, -46.5228 -23.9439, -46.50380000000001 -23.9439))"
2,15,"POLYGON ((-46.48480000000001 -23.9439, -46.48480000000001 -23.9114, -46.50380000000001 -23.9114, -46.50380000000001 -23.9439, -46.48480000000001 -23.9439))"
2,16,"POLYGON ((-46.46580000000001 -23.9439, -46.46580000000001 -23.9114, -46.48480000000001 -23.9114, -46.48480000000001 -23.9439, -46.46580000000001 -23.9439))"
2,17,"POLYGON ((-46.4468 -23.9439, -46.4468 -23.9114, -46.46580000000001 -23.9114, -46.46580000000001 -23.9439, -46.4468 -23.9439))"
2,18,"POLYGON ((-46.4278 -23.9439, -46.4278 -23.9114, -46.4468 -23.9114, -46.4468 -23.9439, -46.4278 -23.9439))"
2,19,"POLYGON ((-46.40880000000001 -23.9439, -46.40880000000001 -23.9114, -46.4278 -23.9114, -46.4278 -23.9439, -46.40880000000001 -23.9439))"
3,0,"POLYGON ((-46.7698 -23.9114, -46.7698 -23.8789, -46.7888 -23.8789, -46.7888 -23.9114, -46.7698 -23.9114))"
3,1,"POLYGON ((-46.75080000000001 -23.9114, -46.75080000000001 -23.8789, -46.7698 -23.8789, -46.7698 -23.9114, -46.75080000000001 -23.9114))"
3,2,"POLYGON ((-46.7318 -23.9114, -46.7318 -23.8789, -46.75080000000001 -23.8789, -46.75080000000001 -23.9114, -46.7318 -23.9114))"
3,3,"POLYGON ((-46.7128 -23.9114, -46.7128 -23.8789, -46.7318 -23.8789, -46.7318 -23.9114, -46.7128 -23.9114))"
3,4,"POLYGON ((-46.6938 -23.9114, -46.6938 -23.8789, -46.7128 -23.8789, -46.7128 -23.9114, -46.6938 -23.9114))"
3,5,"POLYGON ((-46.6748 -23.9114, -46.6748 -23.8789, -46.6938 -23.8789, -46.6938 -23.9114, -46.6748 -23.9114))"
3,6,"POLYGON ((-46.65580000000001 -23.9114, -46.65580000000001 -23.8789, -46.6748 -23.8789, -46.6748 -23.9114, -46.65580000000001 -23.9114))"
3,7,"POLYGON ((-46.6368 -23.9114, -46.6368 -23.8789, -46.65580000000001 -23.8789, -46.65580000000001 -23.9114, -46.6368 -23.9114))"
3,8,"POLYGON ((-46.6178 -23.9114, -46.6178 -23.8789, -46.6368 -23.8789, -46.6368 -23.9114, -46.6178 -23.9114))"
3,9,"POLYGON ((-46.5988 -23.9114, -46.5988 -23.8789, -46.6178 -23.8789, -46.6178 -23.9114, -46.5988 -23.9114))"
3,10,"POLYGON ((-46.57980000000001 -23.9114, -46.57980000000001 -23.8789, -46.5988 -23.8789, -46.5988 -23.9114, -46.57980000000001 -23.9114))"
3,11,"POLYGON ((-46.56080000000001 -23.9114, -46.56080000000001 -23.8789, -46.57980000000001 -23.8789, -46.57980000000001 -23.9114, -46.56080000000001 -23.9114))"
3,12,"POLYGON ((-46.5418 -23.9114, -46.5418 -23.8789, -46.56080000000001 -23.8789, -46.56080000000001 -23.9114, -46.5418 -23.9114))"
3,13,"POLYGON ((-46.5228 -23.9114, -46.5228 -23.8789, -46.5418 -23.8789, -46.5418 -23.9114, -46.5228 -23.9114))"
