i,j,geometry,station id,index,Unnamed: 0,NumeroZona,NomeZona,NumeroMuni,NomeMunici,NumDistrit,NomeDistri,Area_ha_2,lat,lon
9,0,"POLYGON ((-46.7698 -23.7164, -46.7698 -23.6839, -46.7888 -23.6839, -46.7888 -23.7164, -46.7698 -23.7164))",309,309,309,310,Morro do Índio,36,São Paulo,42,Jardim Ângela,114.64,-23.684192031345844,-46.774527050343195
9,1,"POLYGON ((-46.75080000000001 -23.7164, -46.75080000000001 -23.6839, -46.7698 -23.6839, -46.7698 -23.7164, -46.75080000000001 -23.7164))",310,310,310,311,Jardim Ângela,36,São Paulo,42,Jardim Ângela,463.77,-23.685507435940576,-46.761064045345876
9,2,"POLYGON ((-46.7318 -23.7164, -46.7318 -23.6839, -46.75080000000001 -23.6839, -46.75080000000001 -23.7164, -46.7318 -23.7164))",305,305,305,306,Guarapiranga,36,São Paulo,45,Jardim São Luís,1513.25,-23.69662435945693,-46.73738633783186
9,3,"POLYGON ((-46.7128 -23.7164, -46.7128 -23.6839, -46.7318 -23.6839, -46.7318 -23.7164, -46.7128 -23.7164))",286,286,286,287,Parque Interlagos,36,São Paulo,81,Socorro,935.66,-23.690870061808024,-46.713130606531564
9,4,"POLYGON ((-46.6938 -23.7164, -46.6938 -23.6839, -46.7128 -23.6839, -46.7128 -23.7164, -46.6938 -23.7164))",288,288,288,289,Rio Bonito,36,São Paulo,23,Cidade Dutra,495.82,-23.709326985440946,-46.69608148157711
9,5,"POLYGON ((-46.6748 -23.7164, -46.6748 -23.6839, -46.6938 -23.6839, -46.6938 -23.7164, -46.6748 -23.7164))",282,282,282,283,Vila Sabará,36,São Paulo,16,Campo Grande,234.56,-23.689297959218774,-46.68594918092275
9,6,"POLYGON ((-46.65580000000001 -23.7164, -46.65580000000001 -23.6839, -46.6748 -23.6839, -46.6748 -23.7164, -46.65580000000001 -23.7164))",283,283,283,284,Mar Paulista,36,São Paulo,59,Pedreira,548.66,-23.696605653541198,-46.6641083903307
9,7,"POLYGON ((-46.6368 -23.7164, -46.6368 -23.6839, -46.65580000000001 -23.6839, -46.65580000000001 -23.7164, -46.6368 -23.7164))",284,284,284,285,Pedreira,36,São Paulo,59,Pedreira,1302.69,-23.711075420413362,-46.64354947560323
9,8,"POLYGON ((-46.6178 -23.7164, -46.6178 -23.6839, -46.6368 -23.6839, -46.6368 -23.7164, -46.6178 -23.7164))",454,454,454,455,Diadema,8,Diadema,104,Diadema,493.35,-23.686217973056326,-46.62186462754899
9,9,"POLYGON ((-46.5988 -23.7164, -46.5988 -23.6839, -46.6178 -23.6839, -46.6178 -23.7164, -46.5988 -23.7164))",457,457,457,458,Vila Conceição,8,Diadema,104,Diadema,371.2,-23.699802442744346,-46.612460862653066
9,10,"POLYGON ((-46.57980000000001 -23.7164, -46.57980000000001 -23.6839, -46.5988 -23.6839, -46.5988 -23.7164, -46.57980000000001 -23.7164))",456,456,456,457,Piraporinha,8,Diadema,104,Diadema,763.86,-23.69127950986635,-46.59255368095876
9,11,"POLYGON ((-46.56080000000001 -23.7164, -46.56080000000001 -23.6839, -46.57980000000001 -23.6839, -46.57980000000001 -23.7164, -46.56080000000001 -23.7164))",444,444,444,445,Planalto,33,São Bernardo do Campo,129,São Bernardo do Campo,1109.34,-23.701343066365446,-46.57366742960394
9,12,"POLYGON ((-46.5418 -23.7164, -46.5418 -23.6839, -46.56080000000001 -23.6839, -46.56080000000001 -23.7164, -46.5418 -23.7164))",448,448,448,449,São Bernardo do Campo,33,São Bernardo do Campo,129,São Bernardo do Campo,742.96,-23.70690330094585,-46.5499583749276
9,12,"POLYGON ((-46.5418 -23.7164, -46.5418 -23.6839, -46.56080000000001 -23.6839, -46.56080000000001 -23.7164, -46.5418 -23.7164))",447,447,447,448,Baeta Neves,33,São Bernardo do Campo,129,São Bernardo do Campo,535.87,-23.684456562239166,-46.55381184020689
9,13,"POLYGON ((-46.5228 -23.7164, -46.5228 -23.6839, -46.5418 -23.6839, -46.5418 -23.7164, -46.5228 -23.7164))",431,431,431,432,Carijós,32,Santo André,128,Santo André,914.11,-23.687922227937825,-46.524173294413394
10,0,"POLYGON ((-46.7698 -23.6839, -46.7698 -23.6514, -46.7888 -23.6514, -46.7888 -23.6839, -46.7698 -23.6839))",313,313,313,314,Adventista,36,São Paulo,19,Capão Redondo,545.26,-23.67745802007798,-46.78437356723078
10,0,"POLYGON ((-46.7698 -23.6839, -46.7698 -23.6514, -46.7888 -23.6514, -46.7888 -23.6839, -46.7698 -23.6839))",314,314,314,315,Parque Fernanda,36,São Paulo,19,Capão Redondo,512.27,-23.6619888196252,-46.78588561092861
10,1,"POLYGON ((-46.75080000000001 -23.6839, -46.75080000000001 -23.6514, -46.7698 -23.6514, -46.7698 -23.6839, -46.75080000000001 -23.6839))",312,312,312,313,Jardim Sônia Ingá,36,São Paulo,19,Capão Redondo,105.38,-23.673871330391478,-46.76858728383664
10,1,"POLYGON ((-46.75080000000001 -23.6839, -46.75080000000001 -23.6514, -46.7698 -23.6514, -46.7698 -23.6839, -46.75080000000001 -23.6839))",311,311,311,312,Capão Redondo,36,São Paulo,19,Capão Redondo,219.39,-23.65975100523523,-46.76225500962389
10,2,"POLYGON ((-46.7318 -23.6839, -46.7318 -23.6514, -46.75080000000001 -23.6514, -46.75080000000001 -23.6839, -46.7318 -23.6839))",304,304,304,305,Centro Empresarial,36,São Paulo,45,Jardim São Luís,675.29,-23.66288577612111,-46.73986737243171
10,3,"POLYGON ((-46.7128 -23.6839, -46.7128 -23.6514, -46.7318 -23.6514, -46.7318 -23.6839, -46.7128 -23.6839))",285,285,285,286,Vila Socorro,36,São Paulo,81,Socorro,293.26,-23.668522198518094,-46.71512625923872
10,3,"POLYGON ((-46.7128 -23.6839, -46.7128 -23.6514, -46.7318 -23.6514, -46.7318 -23.6839, -46.7128 -23.6839))",302,302,302,303,Vila Miranda,36,São Paulo,72,Santo Amaro,271.15,-23.652962760990853,-46.71494183699383
10,4,"POLYGON ((-46.6938 -23.6839, -46.6938 -23.6514, -46.7128 -23.6514, -46.7128 -23.6839, -46.6938 -23.6839))",279,279,279,280,Jurubatuba,36,São Paulo,16,Campo Grande,482.59,-23.67093595082273,-46.6966029298312
10,4,"POLYGON ((-46.6938 -23.6839, -46.6938 -23.6514, -46.7128 -23.6514, -46.7128 -23.6839, -46.6938 -23.6839))",301,301,301,302,Santo Amaro,36,São Paulo,72,Santo Amaro,257.11,-23.65179768292356,-46.69981862948846
10,5,"POLYGON ((-46.6748 -23.6839, -46.6748 -23.6514, -46.6938 -23.6514, -46.6938 -23.6839, -46.6748 -23.6839))",281,281,281,282,Campo Grande,36,São Paulo,16,Campo Grande,272.36,-23.679981886771866,-46.67527005799689
10,5,"POLYGON ((-46.6748 -23.6839, -46.6748 -23.6514, -46.6938 -23.6514, -46.6938 -23.6839, -46.6748 -23.6839))",280,280,280,281,Vila São Pedro,36,São Paulo,16,Campo Grande,312.58,-23.663871783130087,-46.68415120754967
10,6,"POLYGON ((-46.65580000000001 -23.6839, -46.65580000000001 -23.6514, -46.6748 -23.6514, -46.6748 -23.6839, -46.65580000000001 -23.6839))",278,278,278,279,Vila Missionária,36,São Paulo,22,Cidade Ademar,295.4,-23.682483596692983,-46.66035174887166
10,6,"POLYGON ((-46.65580000000001 -23.6839, -46.65580000000001 -23.6514, -46.6748 -23.6514, -46.6748 -23.6839, -46.65580000000001 -23.6839))",276,276,276,277,Cupecê,36,São Paulo,22,Cidade Ademar,416.89,-23.661310475493714,-46.668988409630444
10,7,"POLYGON ((-46.6368 -23.6839, -46.6368 -23.6514, -46.65580000000001 -23.6514, -46.65580000000001 -23.6839, -46.6368 -23.6839))",277,277,277,278,Jardim Miriam,36,São Paulo,22,Cidade Ademar,513.94,-23.67876744104285,-46.644348414341074
10,7,"POLYGON ((-46.6368 -23.6839, -46.6368 -23.6514, -46.65580000000001 -23.6514, -46.65580000000001 -23.6839, -46.6368 -23.6839))",275,275,275,276,Jardim Bom Clima,36,São Paulo,37,Jabaquara,445.92,-23.662527874392357,-46.643298882416204
10,9,"POLYGON ((-46.5988 -23.6839, -46.5988 -23.6514, -46.6178 -23.6514, -46.6178 -23.6839, -46.5988 -23.6839))",455,455,455,456,Jardim das Nações,8,Diadema,104,Diadema,591.18,-23.672374893670877,-46.6120365923378
10,10,"POLYGON ((-46.57980000000001 -23.6839, -46.57980000000001 -23.6514, -46.5988 -23.6514, -46.5988 -23.6839, -46.57980000000001 -23.6839))",445,445,445,446,Paulicéia,33,São Bernardo do Campo,129,São Bernardo do Campo,805.47,-23.66206693076889,-46.590751465863676
10,11,"POLYGON ((-46.56080000000001 -23.6839, -46.56080000000001 -23.6514, -46.57980000000001 -23.6514, -46.57980000000001 -23.6839, -46.56080000000001 -23.6839))",446,446,446,447,Rudge Ramos,33,São Bernardo do Campo,129,São Bernardo do Campo,470.61,-23.65938651624465,-46.56825974123236
10,12,"POLYGON ((-46.5418 -23.6839, -46.5418 -23.6514, -46.56080000000001 -23.6514, -46.56080000000001 -23.6839, -46.5418 -23.6839))",422,422,422,423,Vila Gilda,32,Santo André,128,Santo André,291.6,-23.67505227554621,-46.54543887420485
10,12,"POLYGON ((-46.5418 -23.6839, -46.5418 -23.6514, -46.56080000000001 -23.6514, -46.56080000000001 -23.6839, -46.5418 -23.6839))",423,423,423,424,Valparaíso,32,Santo André,128,Santo André,246.83,-23.65951142033727,-46.54659708982658
10,12,"POLYGON ((-46.5418 -23.6839, -46.5418 -23.6514, -46.56080000000001 -23.6514, -46.56080000000001 -23.6839, -46.5418 -23.6839))",424,424,424,425,Sacadura Cabral,32,Santo André,128,Santo André,179.89,-23.652256327384208,-46.55694480406892
10,13,"POLYGON ((-46.5228 -23.6839, -46.5228 -23.6514, -46.5418 -23.6514, -46.5418 -23.6839, -46.5228 -23.6839))",421,421,421,422,Santo André,32,Santo André,128,Santo André,795.2,-23.656729733560724,-46.52864028429288
10,15,"POLYGON ((-46.48480000000001 -23.6839, -46.48480000000001 -23.6514, -46.50380000000001 -23.6514, -46.50380000000001 -23.6839, -46.48480000000001 -23.6839))",430,430,430,431,Jardim do Estádio,32,Santo André,128,Santo André,1142.33,-23.67703639242013,-46.498747913776825
10,16,"POLYGON ((-46.46580000000001 -23.6839, -46.46580000000001 -23.6514, -46.48480000000001 -23.6514, -46.48480000000001 -23.6839, -46.46580000000001 -23.6839))",434,434,434,435,Capuava,22,Mauá,118,Mauá,1957.14,-23.67678812180923,-46.476934530486275
10,17,"POLYGON ((-46.4468 -23.6839, -46.4468 -23.6514, -46.46580000000001 -23.6514, -46.46580000000001 -23.6839, -46.4468 -23.6839))",435,435,435,436,Mauá,22,Mauá,118,Mauá,1131.35,-23.68103087456098,-46.45342180418294
10,18,"POLYGON ((-46.4278 -23.6839, -46.4278 -23.6514, -46.4468 -23.6514, -46.4468 -23.6839, -46.4278 -23.6839))",436,436,436,437,Jardim Zaíra,22,Mauá,118,Mauá,1240.23,-23.651988840464316,-46.44448623424078
10,19,"POLYGON ((-46.40880000000001 -23.6839, -46.40880000000001 -23.6514, -46.4278 -23.6514, -46.4278 -23.6839, -46.40880000000001 -23.6839))",437,437,437,438,Barão de Mauá,22,Mauá,118,Mauá,604.52,-23.67159394094693,-46.42525756630693
11,0,"POLYGON ((-46.7698 -23.6514, -46.7698 -23.6189, -46.7888 -23.6189, -46.7888 -23.6514, -46.7698 -23.6514))",323,323,323,324,Jardim Mitsutani,36,São Paulo,17,Campo Limpo,349.31,-23.64328811811384,-46.77726807186979
11,1,"POLYGON ((-46.75080000000001 -23.6514, -46.75080000000001 -23.6189, -46.7698 -23.6189, -46.7698 -23.6514, -46.75080000000001 -23.6514))",322,322,322,323,Parque Arariba,36,São Paulo,17,Campo Limpo,346.59,-23.642250487326102,-46.75618333413844
11,1,"POLYGON ((-46.75080000000001 -23.6514, -46.75080000000001 -23.6189, -46.7698 -23.6189, -46.7698 -23.6514, -46.75080000000001 -23.6514))",324,324,324,325,Pirajussara,36,São Paulo,17,Campo Limpo,270.05,-23.631640252666703,-46.76453505398435
11,1,"POLYGON ((-46.75080000000001 -23.6514, -46.75080000000001 -23.6189, -46.7698 -23.6189, -46.7698 -23.6514, -46.75080000000001 -23.6514))",325,325,325,326,Jardim Umarizal,36,São Paulo,17,Campo Limpo,294.91,-23.622906708302327,-46.753555104616545
11,2,"POLYGON ((-46.7318 -23.6514, -46.7318 -23.6189, -46.75080000000001 -23.6189, -46.75080000000001 -23.6514, -46.7318 -23.6514))",303,303,303,304,Jardim São Luís,36,São Paulo,45,Jardim São Luís,408.45,-23.65099370634615,-46.744590384746544
